Geburtsjahr;maennlich;weiblich
1913;.;.
1914;.;-
1915;-;.
1916;-;.
1917;3;5
1918;3;15
1919;.;30
1920;8;55
1921;16;73
1922;26;132
1923;31;157
1924;69;226
1925;76;321
1926;150;418
1927;192;510
1928;288;681
1929;360;816
1930;457;936
1931;543;995
1932;610;1077
1933;720;1195
1934;1045;1788
1935;1325;2028
1936;1416;2204
1937;1676;2497
1938;1843;2733
1939;2157;2990
1940;2318;3136
1941;2318;3029
1942;1991;2684
1943;2031;2712
1944;2059;2912
1945;1781;2295
1946;2117;2608
1947;2263;2808
1948;2419;2874
1949;2595;3165
1950;2667;3171
1951;2583;3141
1952;2734;3181
1953;2716;3228
1954;2906;3329
1955;3065;3417
1956;3317;3476
1957;3472;3665
1958;3538;3769
1959;3799;4028
1960;4170;4133
1961;4287;4242
1962;4506;4464
1963;4739;4553
1964;4956;4831
1965;5059;4768
1966;5300;4835
1967;5249;4834
1968;5172;4991
1969;4911;4773
1970;4755;4500
1971;4651;4432
1972;4432;4077
1973;4180;4124
1974;4054;4178
1975;4318;4062
1976;4344;4234
1977;4326;4410
1978;4326;4439
1979;4567;4494
1980;4772;4818
1981;4778;4779
1982;4998;4947
1983;4899;4968
1984;4950;4993
1985;5213;5148
1986;5418;5374
1987;5585;5514
1988;5780;6016
1989;5602;5851
1990;5658;5886
1991;5332;5792
1992;5383;5600
1993;4748;5339
1994;4385;4883
1995;4084;4388
1996;3887;4235
1997;3639;3985
1998;3358;3415
1999;3061;3214
2000;2867;2977
2001;2615;2660
2002;2585;2489
2003;2531;2376
2004;2660;2415
2005;2559;2518
2006;2720;2454
2007;2752;2593
2008;2908;2690
2009;2789;2634
2010;2928;2733
2011;2720;2619
2012;2958;2612
2013;2844;2834
2014;2963;2939
2015;3053;2857
2016;3194;3032
2017;3247;3000
2018;3184;3014
2019;3149;2931
2020;3085;3021
