Geburtsjahr;maennlich;weiblich
1913;-;.
1914;.;-
1915;-;.
1916;-;.
1917;.;3
1918;.;6
1919;-;19
1920;6;39
1921;11;44
1922;19;95
1923;19;112
1924;51;167
1925;59;227
1926;106;326
1927;143;410
1928;211;567
1929;287;684
1930;369;798
1931;457;854
1932;522;956
1933;637;1050
1934;922;1625
1935;1172;1870
1936;1268;2048
1937;1543;2342
1938;1704;2601
1939;1992;2855
1940;2165;2988
1941;2164;2881
1942;1895;2599
1943;1924;2623
1944;1964;2803
1945;1682;2237
1946;2022;2523
1947;2172;2756
1948;2333;2824
1949;2520;3092
1950;2575;3109
1951;2510;3077
1952;2644;3133
1953;2644;3174
1954;2830;3269
1955;2967;3331
1956;3204;3413
1957;3381;3596
1958;3462;3716
1959;3711;3979
1960;4093;4072
1961;4224;4208
1962;4417;4423
1963;4667;4479
1964;4910;4785
1965;5014;4724
1966;5221;4776
1967;5180;4780
1968;5123;4948
1969;4844;4725
1970;4717;4477
1971;4623;4424
1972;4355;4031
1973;4137;4074
1974;3999;4128
1975;4257;4042
1976;4298;4222
1977;4260;4343
1978;4261;4399
1979;4467;4423
1980;4653;4735
1981;4660;4668
1982;4911;4833
1983;4817;4845
1984;4797;4887
1985;5134;4981
1986;5306;5234
1987;5504;5359
1988;5685;5823
1989;5563;5718
1990;5706;5824
1991;5377;5776
1992;5554;5692
1993;5123;5522
1994;4716;5189
1995;4439;4748
1996;4245;4672
1997;3933;4329
1998;3563;3707
1999;3262;3473
2000;3045;3240
2001;2787;2980
2002;2712;2703
2003;2549;2444
2004;2665;2430
2005;2573;2511
2006;2722;2436
2007;2761;2586
2008;2914;2668
2009;2784;2626
2010;2917;2709
2011;2715;2593
2012;2937;2601
2013;2849;2812
2014;2928;2906
2015;2974;2806
2016;3129;2979
2017;3163;2946
2018;3120;2948
2019;3019;2832
2020;3015;2937
2021;3184;2990
