Stadtbezirk;Jahr_2012;Jahr_2013;Jahr_2014;Jahr_2015;Jahr_2016;Jahr_2017;Jahr_2018;Jahr_2019;Jahr_2020;Jahr_2021;Jahr_2022;Jahr_2023;Jahr_2024
1;80049;80887;82022;84029;84840;85274;85914;86595;85936;85996;88769;88907;89669
2;58998;59374;60535;61501;62340;63085;63632;63954;64183;63991;65396;65721;66094
3;114370;115904;117342;118323;119086;119481;119999;120866;120994;120921;122547;123232;123572
4;41249;41147;41582;42218;43446;44019;44282;45088;45039;45198;45784;46258;47036
5;33161;33179;33411;34318;34479;34456;34584;34695;34534;34479;34932;34818;34808
6;60937;61201;62126;63721;65415;66122;66595;66748;66610;66957;68268;69042;69197
7;45560;45864;46313;46838;47296;47635;47357;47466;47072;46900;47131;47253;47652
8;58864;59494;59806;59940;60233;60712;61069;61347;60768;60412;60695;61227;61142
9;91091;91855;91805;92568;93486;93511;93881;94276;94359;94170;94977;94628;94463
10;24502;24541;24709;24981;25083;25112;24991;24888;24785;24729;24754;24631;24612
