Geografische Koordinate;Bezeichnung;Objektkategorie;Objektart;Objektname;Objektname-Zusatz;Information-Beschreibung;Information;Straße;Hausnummer;Ort;Link;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;Aktionsraum Nr;Aktionsraum;UUID;Ostwert;Hochwert;Kommune
51.5525188124, 7.5415831463;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Scharnhorst, Gleiwitzstraße 267;;Gleiwitzstraße;267;Dortmund;;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;eae8c2e1-8fa2-4438-bec0-b43798d4a723;398886.1506582402;5712277.94234441;Dortmund
51.4918938257, 7.5081609138;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Phoenix See Nordufer;;Bundesstraße B 236 tlw.;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;082;Hörde;21f157fd-14f8-4cb1-88b0-8d16eb6d27f8;396431.61018663086;5705582.855110049;Dortmund
51.5089750168, 7.4468599364;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Westpark, Rittershausstraße 40;;;;Dortmund;;10;Innenstadt-West;020;Dorstfelder Brücke;022;Dorstfelder Brücke;013;Dorstfelder Brücke;c165f7cf-dcf5-4b16-b98d-a063e7c93861;392216.42997567105;5707570.862244793;Dortmund
51.5139912372, 7.4725738075;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Ostenhellweg, Ostwall 3;;;;Dortmund;;10;Innenstadt-West;000;City;001;City-Ost;;;70abb0f6-5320-4b9f-afd7-47f3f85d4071;394012.44762197556;5708091.134444699;Dortmund
51.5131339583, 7.4851048108;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Kaiserstraße 99;;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;;;c936b3a2-95e3-493c-9b90-b7ba10fdc207;394879.95022702444;5707977.727413337;Dortmund
51.555052638, 7.4734866914;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Eving, Waldecker Straße Ecke Bayrische Straße;;;;Dortmund;;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;dccc1305-ea6e-4e91-b932-ddfda9340441;394171.06677066744;5712656.049763533;Dortmund
51.4893391843, 7.5025496176;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Stiftsplatz, Hermannstraße 57-63;;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;082;Hörde;fa52c381-49e1-4cc2-8481-c1d0570f7b1e;396036.26406906015;5705306.720556129;Dortmund
51.5307232871, 7.4133089704;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Huckarde, Friedhof Urbanusstraße;;;;Dortmund;;8;Huckarde;820;Huckarde;824;Huckarde;;;7d35fa18-73fe-4adb-9680-c0255873aeda;389940.66250026884;5710039.303560561;Dortmund
51.5129291871, 7.4228998002;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Dorstfeld, Wittener Straße 3;;;;Dortmund;;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;78170285-5a83-4862-9902-64dd25bd4e45;390563.23336736206;5708046.1402342;Dortmund
51.5092446499, 7.3800047006;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Marten, Marktplatz / Barichstraße;;;;Dortmund;;7;Lütgendortmund;740;Marten;742;Marten;102;Marten;0ee9b3a7-9027-4fdd-8c7b-9b45522add45;387577.7994415975;5707701.423191826;Dortmund
51.4918785176, 7.5555035132;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Aplerbeck, Marktplatz;;;;Dortmund;;4;Aplerbeck;410;Aplerbeck;413;Aplerbecker Markt;;;869f256d-4c0a-4859-9b34-e38f1c43bd1a;399718.0975442996;5705515.238360881;Dortmund
51.488710258, 7.5132130444;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Phoenixseestraße neb. 22a / Phoenix See Süd;;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;082;Hörde;a8e3b7af-022e-42e0-b2f8-3a6768225572;396775.1377960626;5705221.691856149;Dortmund
51.4761941262, 7.4378747569;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hombruch, Ginsterstraße 1;;;;Dortmund;;6;Hombruch;650;Hombruch;651;Hombruch;;;dc923331-88cd-4398-a96c-3567f256f9bd;391515.1250548093;5703938.768896014;Dortmund
