Geografische Koordinate;Bezeichnung;Objektkategorie;Objektart;Objektname;Objektname-Zusatz;Information-Beschreibung;Information;Straße;Hausnummer;Ort;Link;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;UUID;Ostwert;Hochwert;Kommune
51.5711843667, 7.3802143819;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Amtshaus Mengede;Nette Toilette;Standort: Am Amtshaus 1;;;;Dortmund;;9;Mengede;920;Mengede;923;Mengede-Mitte;29171022-f3de-4dfc-a14a-607b948f3679;387744.86999988987;5714589.049999418;Dortmund
51.5282367769, 7.5842391852;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bäckermeister Grobe;Nette Toilette;Standort: Asselner Hellweg 102;;;;Dortmund;;3;Brackel;310;Asseln;312;Asseln Dorf;26ea11b1-65e0-4eb9-a2b7-187346431aca;401791.1499999438;5709519.519999547;Dortmund
51.4976857464, 7.537936258;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bäckermeister Grobe;Nette Toilette;Standort: Markscheiderstraße 1;Rollstuhleignung: Ja;Markscheiderstraße;1;Dortmund;;4;Aplerbeck;430;Schüren;431;Schüren-Neu;9a22ec94-df2f-4552-bcf9-9418bc7fd611;398511.47598511557;5706185.242495841;Dortmund
51.4754409964, 7.4397441951;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bezirksverwaltungsstelle;Nette Toilette;Standort: Harkortstr. 58;;;;Dortmund;;6;Hombruch;650;Hombruch;651;Hombruch;f872829d-bccd-4239-94d1-bcb558f30606;391643.1599999077;5703852.249999463;Dortmund
51.5493086943, 7.4629026453;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bezirksverwaltungsstelle;Nette Toilette;Standort: August-Wagner-Platz 2 - 4 (1. Etage);;;;Dortmund;;1;Eving;120;Eving;122;Eving;e9884baf-af9e-4a4a-80f7-2c2005b5595a;393423.91999991506;5712032.659999484;Dortmund
51.5711843838, 7.3802143646;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bezirksverwaltungsstelle;Nette Toilette;Standort: Am Amtshaus 1;Rollstuhleignung: Ja;Am Amtshaus;1;Dortmund;;9;Mengede;920;Mengede;923;Mengede-Mitte;5d2397f4-6cdf-4aa2-8821-703c38394fda;387744.8688418976;5714589.051924719;Dortmund
51.4863430239, 7.5010531254;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bistro Kontrast;Nette Toilette;Standort: Alte Benninghofer Str. 13;;;;Dortmund;;5;Hörde;530;Hörde;534;Brücherhof;bb6cdb5c-fb92-48ff-b877-691caaa610fb;395925.5499999245;5704975.659999501;Dortmund
51.5161273176, 7.4671850178;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Café Bäumchen;Nette Toilette;Standort: Reinoldistraße 17;Rollstuhleignung: Ja;Reinoldistraße;17;Dortmund;;10;Innenstadt-West;000;City;001;City-Ost;d1c23eae-523c-491d-a070-6bf6f7998dd0;393643.517067401;5708336.494614687;Dortmund
51.5319692515, 7.4497731294;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Café Zum Westerholz;Nette Toilette;Standort: Schützenstr. 196;Rollstuhleignung: Ja;Schützenstraße;;Dortmund;;20;Innenstadt-Nord;040;Hafen;041;Hafen;018496a8-be6b-4c46-979f-ad1e88198e3d;392472.75999991095;5710123.639999473;Dortmund
51.5093203359, 7.3825695649;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Eiscafé Pieruz;Nette Toilette;Standort: Haumannstraße 20 / In der Meile 4;;In der Meile;4;Dortmund;;7;Lütgendortmund;740;Marten;742;Marten;7c4bb52c-cf78-485a-8359-86826f26f9a5;387755.96774832;5707705.902969779;Dortmund
51.5055250146, 7.4546721128;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;El Mundo;Nette Toilette;Standort: Neuer Graben 48;Rollstuhleignung: Ja;Neuer Graben;48;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;ad58d270-94ab-4bd6-896f-5de11f1884bc;392750.44265507127;5707175.730884786;Dortmund
51.5794191124, 7.4659211048;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Evangelisches Familienzentrum;Nette Toilette;Standort: Widumer Str. 17, Brechten/Eving;Rollstuhleignung: Ja;Widumer Straße;17;Dortmund;;1;Eving;110;Brechten;111;Brechten-Nord;8d0d24ae-dfb1-4f56-adfe-5a5b285465d2;393703.4396179005;5715376.711598884;Dortmund
51.4897782227, 7.5011655974;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gasthaus Wüstefeld;Nette Toilette;Standort: Hörder Rathausstr. 3;Rollstuhleignung: Ja;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;810ca7fb-32c3-49ed-8f09-0c1b022b68aa;395941.17999992485;5705357.509999502;Dortmund
51.5054944206, 7.3299211367;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;"Gastronomie ""Hopfen & Salz""";Nette Toilette;Standort: Volksgartenstr. 61;;;;Dortmund;;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;dfcdaa1d-3555-4f03-b656-d788b0ecf2a2;384092.8699998702;5707362.5099993665;Dortmund
51.562212749, 7.4154490851;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gut Königsmühle (Stiftung help & hope);Nette Toilette;Standort: Ellinghauser Str. 309;;;;Dortmund;;9;Mengede;950;Schwieringhausen;953;Ellinghausen;829983b7-ba2c-41da-ac19-f66c8a479aa2;390164.9599999011;5713537.859999448;Dortmund
