Geografische Koordinate;Objektkategorie;Objektart;Objektname;Objektname-Zusatz;Information-Beschreibung;Information;Straße;Hausnummer;Ort;Link;Telefon;E-Mail;Ostwert;Hochwert;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;Sozialraum Nr;Sozialraum;Aktionsraum Nr;Aktionsraum;Kommune
51.55057169999659, 7.456979299999508;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;393016.20469768875;5712181.759718375;1;Eving;120;Eving;121;Niedereving;;;042;Lindenhorst/Eving II;Dortmund
51.514341999996574, 7.460339199999514;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;393164.3590219924;5708147.930525574;10;Innenstadt-West;000;City;002;City-West;;;;;Dortmund
51.53220587930123, 7.609368091324712;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;403542.6097666802;5709927.481960815;3;Brackel;340;Wickede;342;Wickede Dorf;;;;;Dortmund
51.50699541469935, 7.4502030843691545;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;392443.7605956422;5707345.803759061;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;;;;;Dortmund
51.5229244517878, 7.3716812830188045;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;387034.0683864553;5709235.48412444;8;Huckarde;840;Kirchlinde;841;Kirchlinde-Alt;;;;;Dortmund
51.522352299996584, 7.464590399999522;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;393478.02098954725;5709032.516068028;20;Innenstadt-Nord;050;Nordmarkt;051;Nordmarkt-Süd;;;022;Nordmarkt;Dortmund
51.55217319999667, 7.5442905999996555;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;399073.0877122373;5712235.768894687;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;;;054;Scharnhorst-Ost;Dortmund
51.530824399996504, 7.414282999999426;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;390008.4649743609;5710049.083019719;8;Huckarde;820;Huckarde;824;Huckarde;;;;;Dortmund
51.4970785570195, 7.474312805456005;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;394093.90308913414;5706207.849694796;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;;;;;Dortmund
51.54599798096414, 7.37719314222009;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;387473.3526880381;5711792.856443979;9;Mengede;960;Westerfilde;960;Westerfilde;;;121;Bodelschwingh/Westerfilde;Dortmund
51.52350969523455, 7.5474099471777345;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;399226.0558546551;5709043.915842563;3;Brackel;320;Brackel;325;Brackel Hellweg;;;;;Dortmund
51.54865155774904, 7.528811139542519;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;397992.0452557417;5711865.613230799;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;;;;;Dortmund
51.57143367990556, 7.381195232103202;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;387813.4550374502;5714615.269500675;9;Mengede;920;Mengede;923;Mengede-Mitte;;;;;Dortmund
51.51256605542651, 7.424086108382609;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;390644.6783554517;5708003.985190374;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;;;014;Dorstfeld;Dortmund
51.47825671284005, 7.534613822119165;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;398237.6132284289;5704029.249074633;4;Aplerbeck;420;Berghofen;421;Berghofen Dorf;;;;;Dortmund
51.485941599996586, 7.49389719999957;XE_Wasserverkehr;Trinkwasserannahmestelle;Trinkbrunnen;;;;;;Dortmund;;;;395427.8090043279;5704941.216632603;5;Hörde;530;Hörde;533;Phönix-West;;;082;Hörde;Dortmund
