stadtteil,maennlich,weiblich,deutsch,nichtdeutsch,district_code,district_name,total_students,male_share,non_german_share
011 Altstadt,18,21,29,10,,011 Altstadt,39,0.46153846153846156,0.2564102564102564
012 Carlstadt,17,33,47,3,,012 Carlstadt,50,0.34,0.06
013 Stadtmitte,177,145,199,123,,013 Stadtmitte,322,0.5496894409937888,0.38198757763975155
014 Pempelfort,406,390,653,143,,014 Pempelfort,796,0.5100502512562815,0.17964824120603015
015 Derendorf,240,243,384,99,,015 Derendorf,483,0.4968944099378882,0.20496894409937888
016 Golzheim,190,181,294,77,,016 Golzheim,371,0.5121293800539084,0.20754716981132076
021 Flingern Süd,141,162,245,58,,021 Flingern Süd,303,0.46534653465346537,0.19141914191419143
022 Flingern Nord,390,392,625,157,,022 Flingern Nord,782,0.49872122762148335,0.20076726342711
023 Düsseltal,399,453,676,176,,023 Düsseltal,852,0.46830985915492956,0.20657276995305165
031 Friedrichstadt,187,215,259,143,,031 Friedrichstadt,402,0.4651741293532338,0.35572139303482586
032 Unterbilk,241,209,378,72,,032 Unterbilk,450,0.5355555555555556,0.16
033 Hafen,0,0,0,0,,033 Hafen,0,0.0,0.0
034 Hamm,94,65,0,0,,034 Hamm,159,0.5911949685534591,0.0
035 Volmerswerth,32,29,0,0,,035 Volmerswerth,61,0.5245901639344263,0.0
036 Bilk,530,566,945,151,,036 Bilk,1096,0.4835766423357664,0.13777372262773724
037 Oberbilk,479,492,675,296,,037 Oberbilk,971,0.4933058702368692,0.30484037075180226
038 Flehe,46,41,82,5,,038 Flehe,87,0.5287356321839081,0.05747126436781609
041 Oberkassel,238,201,388,51,,041 Oberkassel,439,0.5421412300683371,0.11617312072892938
042 Heerdt,206,211,334,83,,042 Heerdt,417,0.4940047961630695,0.19904076738609114
043 Lörick,118,102,138,82,,043 Lörick,220,0.5363636363636364,0.37272727272727274
044 Niederkassel,139,131,223,47,,044 Niederkassel,270,0.5148148148148148,0.17407407407407408
051 Stockum,94,79,152,21,,051 Stockum,173,0.5433526011560693,0.12138728323699421
052 Lohausen,57,83,116,24,,052 Lohausen,140,0.40714285714285714,0.17142857142857143
053 Kaiserswerth,128,114,204,38,,053 Kaiserswerth,242,0.5289256198347108,0.15702479338842976
054 Wittlaer,194,144,301,37,,054 Wittlaer,338,0.5739644970414202,0.10946745562130178
055 Angermund,154,154,273,35,,055 Angermund,308,0.5,0.11363636363636363
056 Kalkum,35,45,77,3,,056 Kalkum,80,0.4375,0.0375
061 Lichtenbroich,155,151,204,102,,061 Lichtenbroich,306,0.5065359477124183,0.3333333333333333
062 Unterrath,371,358,602,127,,062 Unterrath,729,0.5089163237311386,0.17421124828532236
063 Rath,416,404,621,199,,063 Rath,820,0.5073170731707317,0.2426829268292683
064 Mörsenbroich,393,365,625,133,,064 Mörsenbroich,758,0.5184696569920845,0.17546174142480211
071 Gerresheim,510,533,891,152,,071 Gerresheim,1043,0.48897411313518696,0.1457334611697028
072 Grafenberg,80,78,135,23,,072 Grafenberg,158,0.5063291139240507,0.14556962025316456
073 Ludenberg,129,136,232,33,,073 Ludenberg,265,0.4867924528301887,0.12452830188679245
074 Hubbelrath,28,23,0,0,,074 Hubbelrath,51,0.5490196078431373,0.0
075 Knittkuhl,46,49,0,0,,075 Knittkuhl,95,0.4842105263157895,0.0
081 Lierenfeld,196,201,263,134,,081 Lierenfeld,397,0.49370277078085645,0.33753148614609574
082 Eller,578,553,944,187,,082 Eller,1131,0.51105216622458,0.16534040671971706
083 Vennhausen,215,223,386,52,,083 Vennhausen,438,0.4908675799086758,0.1187214611872146
084 Unterbach,132,145,257,20,,084 Unterbach,277,0.47653429602888087,0.07220216606498195
091 Wersten,447,459,787,119,,091 Wersten,906,0.49337748344370863,0.13134657836644592
092 Himmelgeist,64,68,0,0,,092 Himmelgeist,132,0.48484848484848486,0.0
093 Holthausen,247,258,391,114,,093 Holthausen,505,0.4891089108910891,0.22574257425742575
094 Reisholz,79,69,96,52,,094 Reisholz,148,0.5337837837837838,0.35135135135135137
095 Benrath,305,272,486,91,,095 Benrath,577,0.5285961871750433,0.15771230502599654
096 Urdenbach,208,208,381,35,,096 Urdenbach,416,0.5,0.08413461538461539
097 Itter,60,56,0,0,,097 Itter,116,0.5172413793103449,0.0
098 Hassels,407,423,515,315,,098 Hassels,830,0.4903614457831325,0.3795180722891566
101 Garath,462,447,633,276,,101 Garath,909,0.5082508250825083,0.30363036303630364
102 Hellerhof,104,75,163,16,,102 Hellerhof,179,0.5810055865921788,0.0893854748603352
"Auswärtige zusammen, Düsseldorf ohne nähere Angabe beziehungsweise keine Angabe",148,129,229,48,,"Auswärtige zusammen, Düsseldorf ohne nähere Angabe beziehungsweise keine Angabe",277,0.5342960288808665,0.17328519855595667
