stadtteil,maennlich,weiblich,deutsch,nichtdeutsch,district_code,district_name,total_students,male_share,non_german_share
082 Eller,578,553,944,187,,082 Eller,1131,0.51105216622458,0.16534040671971706
036 Bilk,530,566,945,151,,036 Bilk,1096,0.4835766423357664,0.13777372262773724
071 Gerresheim,510,533,891,152,,071 Gerresheim,1043,0.48897411313518696,0.1457334611697028
037 Oberbilk,479,492,675,296,,037 Oberbilk,971,0.4933058702368692,0.30484037075180226
101 Garath,462,447,633,276,,101 Garath,909,0.5082508250825083,0.30363036303630364
091 Wersten,447,459,787,119,,091 Wersten,906,0.49337748344370863,0.13134657836644592
023 Düsseltal,399,453,676,176,,023 Düsseltal,852,0.46830985915492956,0.20657276995305165
098 Hassels,407,423,515,315,,098 Hassels,830,0.4903614457831325,0.3795180722891566
063 Rath,416,404,621,199,,063 Rath,820,0.5073170731707317,0.2426829268292683
014 Pempelfort,406,390,653,143,,014 Pempelfort,796,0.5100502512562815,0.17964824120603015
