Stadtteil;männlich;weiblich;deutsch;nichtdeutsch
011 Altstadt;18;21;29;10
012 Carlstadt;17;33;47;3
013 Stadtmitte;177;145;199;123
014 Pempelfort;406;390;653;143
015 Derendorf;240;243;384;99
016 Golzheim;190;181;294;77
021 Flingern Süd;141;162;245;58
022 Flingern Nord;390;392;625;157
023 Düsseltal;399;453;676;176
031 Friedrichstadt;187;215;259;143
032 Unterbilk;241;209;378;72
033 Hafen;-;-;-;-
034 Hamm;94;65;.;.
035 Volmerswerth;32;29;.;.
036 Bilk;530;566;945;151
037 Oberbilk;479;492;675;296
038 Flehe;46;41;82;5
041 Oberkassel;238;201;388;51
042 Heerdt;206;211;334;83
043 Lörick;118;102;138;82
044 Niederkassel;139;131;223;47
051 Stockum;94;79;152;21
052 Lohausen;57;83;116;24
053 Kaiserswerth;128;114;204;38
054 Wittlaer;194;144;301;37
055 Angermund;154;154;273;35
056 Kalkum;35;45;77;3
061 Lichtenbroich;155;151;204;102
062 Unterrath;371;358;602;127
063 Rath;416;404;621;199
064 Mörsenbroich;393;365;625;133
071 Gerresheim;510;533;891;152
072 Grafenberg;80;78;135;23
073 Ludenberg;129;136;232;33
074 Hubbelrath;28;23;.;.
075 Knittkuhl;46;49;.;.
081 Lierenfeld;196;201;263;134
082 Eller;578;553;944;187
083 Vennhausen;215;223;386;52
084 Unterbach;132;145;257;20
091 Wersten;447;459;787;119
092 Himmelgeist;64;68;.;.
093 Holthausen;247;258;391;114
094 Reisholz;79;69;96;52
095 Benrath;305;272;486;91
096 Urdenbach;208;208;381;35
097 Itter;60;56;.;.
098 Hassels;407;423;515;315
101 Garath;462;447;633;276
102 Hellerhof;104;75;163;16
Auswärtige zusammen, Düsseldorf ohne nähere Angabe beziehungsweise keine Angabe;148;129;229;48
