GENA,ORTST,PLZ,BRW,BRWZNR,layer_id,gena_filter
Düsseldorf,Hellerhof,40595,620,36122,2,Düsseldorf
Düsseldorf,Garath,40595,900,15771,2,Düsseldorf
Düsseldorf,Urdenbach,40593,1100,29152,2,Düsseldorf
Düsseldorf,Garath,40595,890,28841,2,Düsseldorf
Düsseldorf,Himmelgeist,40589,1100,19252,2,Düsseldorf
Düsseldorf,Benrath,40597,1500,12851,2,Düsseldorf
Düsseldorf,Reisholz,40599,1100,12051,2,Düsseldorf
Düsseldorf,Eller,40229,760,23142,2,Düsseldorf
Düsseldorf,Hassels,40599,760,32561,2,Düsseldorf
Düsseldorf,Eller,40229,850,31882,2,Düsseldorf
Düsseldorf,Wersten,40591,2050,36581,2,Düsseldorf
Düsseldorf,Bilk,40223,1900,29221,2,Düsseldorf
Düsseldorf,Lierenfeld,40231,820,30910,2,Düsseldorf
Düsseldorf,Vennhausen,40627,940,14430,2,Düsseldorf
Düsseldorf,Vennhausen,40627,760,18050,2,Düsseldorf
Düsseldorf,Vennhausen,40627,940,16720,2,Düsseldorf
Düsseldorf,Gerresheim,40627,850,17732,2,Düsseldorf
Düsseldorf,Heerdt,40549,1050,10432,2,Düsseldorf
Düsseldorf,Oberkassel,40545,3350,30882,2,Düsseldorf
Düsseldorf,Niederkassel,40545,3600,20772,2,Düsseldorf
Düsseldorf,Niederkassel,40547,2800,24772,2,Düsseldorf
Düsseldorf,Düsseltal,40237,1900,18372,2,Düsseldorf
Düsseldorf,Niederkassel,40547,1700,16100,2,Düsseldorf
Düsseldorf,Lörick,50547,2150,28400,2,Düsseldorf
Düsseldorf,Mörsenbroich,40470,1350,24081,2,Düsseldorf
Düsseldorf,Ludenberg,40629,1650,26920,2,Düsseldorf
Düsseldorf,Rath,40470,1050,20461,2,Düsseldorf
Düsseldorf,Hubbelrath,40629,1500,27100,2,Düsseldorf
Düsseldorf,Hubbelrath,40629,940,7340,2,Düsseldorf
Düsseldorf,Unterrath,40468,1000,622,2,Düsseldorf
Düsseldorf,Rath,40472,1050,26131,2,Düsseldorf
Düsseldorf,Rath,40472,1150,15642,2,Düsseldorf
Düsseldorf,Lohausen,40474,1550,22640,2,Düsseldorf
Düsseldorf,Einbrungen,40489,1300,6600,2,Düsseldorf
Düsseldorf,Wersten,40591,940,28580,2,Düsseldorf
Düsseldorf,Wersten,40591,940,30702,2,Düsseldorf
Düsseldorf,Hassels,40599,850,29562,2,Düsseldorf
Düsseldorf,Wersten,40591,710,19100,2,Düsseldorf
Düsseldorf,Stockum,40474,1350,14410,2,Düsseldorf
Düsseldorf,Urdenbach,40593,900,14521,2,Düsseldorf
Düsseldorf,Gerresheim,40625,1150,17791,2,Düsseldorf
Düsseldorf,Gerresheim,40625,1050,17792,2,Düsseldorf
Düsseldorf,Urdenbach,40593,1050,31130,2,Düsseldorf
Düsseldorf,Urdenbach,40593,1150,962,2,Düsseldorf
Düsseldorf,Eller,40229,810,30281,2,Düsseldorf
Düsseldorf,Benrath,40597,1650,25780,2,Düsseldorf
Düsseldorf,Bilk,40221,1300,29742,2,Düsseldorf
Düsseldorf,Gerresheim,40625,880,38872,2,Düsseldorf
Düsseldorf,Eller,40231,1050,27661,2,Düsseldorf
Düsseldorf,Mörsenbroich,40470,820,26972,2,Düsseldorf
Düsseldorf,Mörsenbroich,40470,1150,34352,2,Düsseldorf
Düsseldorf,Urdenbach,40593,1150,18562,2,Düsseldorf
Düsseldorf,Gerresheim,40625,1100,19181,2,Düsseldorf
Düsseldorf,Kalkum,40489,1100,560,2,Düsseldorf
Düsseldorf,Niederkassel,40547,1650,24751,2,Düsseldorf
Düsseldorf,Golzheim,40474,2450,16000,2,Düsseldorf
Düsseldorf,Golzheim,40474,1300,29381,2,Düsseldorf
Düsseldorf,Lohausen,40474,820,13632,2,Düsseldorf
Düsseldorf,Derendorf,40468,690,12572,2,Düsseldorf
Düsseldorf,Mörsenbroich,40470,640,27432,2,Düsseldorf
Düsseldorf,Oberkassel,40549,1450,14472,2,Düsseldorf
Düsseldorf,Gerresheim,40625,1450,25732,2,Düsseldorf
Düsseldorf,Eller,40229,760,30192,2,Düsseldorf
Düsseldorf,Ludenberg,40629,940,10782,2,Düsseldorf
Düsseldorf,Angermund,40489,990,550,2,Düsseldorf
Düsseldorf,Düsseltal,40237,2950,92,2,Düsseldorf
Düsseldorf,Hamm,40221,1050,18302,2,Düsseldorf
Düsseldorf,Bilk,40225,1450,25162,2,Düsseldorf
Düsseldorf,Unterrath,40468,1000,11720,2,Düsseldorf
Düsseldorf,Stockum,40474,1300,24922,2,Düsseldorf
Düsseldorf,Flehe,40223,990,22012,2,Düsseldorf
Düsseldorf,Bilk,40225,820,14322,2,Düsseldorf
Düsseldorf,Wersten,40591,940,12290,2,Düsseldorf
Düsseldorf,Urdenbach,40593,1350,80,2,Düsseldorf
Düsseldorf,Unterbach,40627,1100,7670,2,Düsseldorf
Düsseldorf,Unterrath,40472,710,22702,2,Düsseldorf
Düsseldorf,Rath,40472,820,25442,2,Düsseldorf
Düsseldorf,Hubbelrath,40629,810,7202,2,Düsseldorf
Düsseldorf,Unterbach,40627,1100,7912,2,Düsseldorf
Düsseldorf,Benrath,40597,940,11592,2,Düsseldorf
Düsseldorf,Hellerhof,40595,640,35312,2,Düsseldorf
Düsseldorf,Heerdt,40549,590,52,2,Düsseldorf
Düsseldorf,Heerdt,40549,900,22042,2,Düsseldorf
Düsseldorf,Lörick,40547,1050,24722,2,Düsseldorf
Düsseldorf,Lörick,40547,1300,62,2,Düsseldorf
Düsseldorf,Ludenberg,40629,1300,12922,2,Düsseldorf
Düsseldorf,Lohausen,40474,810,20002,2,Düsseldorf
Düsseldorf,Kaiserswerth,40489,990,10142,2,Düsseldorf
Düsseldorf,Hubbelrath,40629,1100,7560,2,Düsseldorf
Düsseldorf,Itter,40589,1050,972,2,Düsseldorf
Düsseldorf,Kaiserswerth,40489,1300,22072,2,Düsseldorf
Düsseldorf,Flingern,40235,890,18912,2,Düsseldorf
Düsseldorf,Gerresheim,40625,900,13760,2,Düsseldorf
Düsseldorf,Wittlaer,40489,1700,540,2,Düsseldorf
Düsseldorf,Holthausen,40589,850,10702,2,Düsseldorf
Düsseldorf,Eller,40229,820,23382,2,Düsseldorf
Düsseldorf,Urdenbach,40593,880,14520,5,Düsseldorf
Düsseldorf,Benrath,40597,1450,12850,5,Düsseldorf
Düsseldorf,Benrath,40597,2100,18550,5,Düsseldorf
Düsseldorf,Holthausen,40589,920,21500,5,Düsseldorf
Düsseldorf,Wersten,40589,780,930,5,Düsseldorf
Düsseldorf,Wersten,40591,800,12291,5,Düsseldorf
Düsseldorf,Wersten,40591,1050,22720,5,Düsseldorf
Düsseldorf,Friedrichstadt,40217,2700,21540,5,Düsseldorf
Düsseldorf,Oberbilk,40227,2100,28390,5,Düsseldorf
Düsseldorf,Oberbilk,40227,1700,15590,5,Düsseldorf
Düsseldorf,Oberbilk,40227,3750,26230,5,Düsseldorf
Düsseldorf,Pempelfort,40477,3300,24930,5,Düsseldorf
Düsseldorf,Pempelfort,40479,2650,25970,5,Düsseldorf
Düsseldorf,Pempelfort,40477,1850,12320,5,Düsseldorf
Düsseldorf,Flingern,40235,2250,22830,5,Düsseldorf
Düsseldorf,Düsseltal,40237,2000,26530,5,Düsseldorf
Düsseldorf,Oberkassel,40549,3750,17890,5,Düsseldorf
Düsseldorf,NIederkassel,40547,2650,20480,5,Düsseldorf
Düsseldorf,Pempelfort,40477,5600,16340,5,Düsseldorf
Düsseldorf,Pempelfort,40479,4200,27390,5,Düsseldorf
Düsseldorf,Düsseltal,40237,2400,10060,5,Düsseldorf
Düsseldorf,Düsseltal,40239,1700,24350,5,Düsseldorf
Düsseldorf,Grafenberg,40235,1600,36390,5,Düsseldorf
Düsseldorf,Grafenberg,40235,1700,17210,5,Düsseldorf
Düsseldorf,Golzheim,40474,3700,14260,5,Düsseldorf
Düsseldorf,Rath,40472,920,26120,5,Düsseldorf
Düsseldorf,Unterrath,40474,1650,34930,5,Düsseldorf
Düsseldorf,Unterrath,40468,920,29890,5,Düsseldorf
Düsseldorf,Niederkassel,40547,2300,24750,5,Düsseldorf
Düsseldorf,Garath,40595,740,28840,5,Düsseldorf
Düsseldorf,Reisholz,40599,800,12050,5,Düsseldorf
Düsseldorf,Hassels,40599,920,32560,5,Düsseldorf
Düsseldorf,Mörsenbroich,40470,1550,24080,5,Düsseldorf
Düsseldorf,Rath,40470,750,20460,5,Düsseldorf
Düsseldorf,Wersten,40591,1050,36580,5,Düsseldorf
Düsseldorf,Vennhausen,40627,1000,31460,5,Düsseldorf
Düsseldorf,Eller,40231,960,27660,5,Düsseldorf
Düsseldorf,Garath,40595,640,15770,5,Düsseldorf
Düsseldorf,Flingern,40233,1500,23930,5,Düsseldorf
Düsseldorf,Wersten,40591,840,28581,5,Düsseldorf
Düsseldorf,Bilk,40223,2550,29220,5,Düsseldorf
Düsseldorf,Heerdt,40549,790,30120,5,Düsseldorf
Düsseldorf,Ludenberg,40629,1550,37570,5,Düsseldorf
Düsseldorf,Grafenberg,40629,1450,18400,5,Düsseldorf
Düsseldorf,Gerresheim,40625,880,15170,5,Düsseldorf
Düsseldorf,Gerresheim,40625,960,12750,5,Düsseldorf
Düsseldorf,Eller,40229,1100,17430,5,Düsseldorf
Düsseldorf,Eller,40229,790,30280,5,Düsseldorf
Düsseldorf,Unterrath,40468,1000,36620,5,Düsseldorf
Düsseldorf,Rath,40472,880,26130,5,Düsseldorf
Düsseldorf,Golzheim,40476,4200,21360,5,Düsseldorf
Düsseldorf,Golzheim,40476,1900,31350,5,Düsseldorf
Düsseldorf,Golzheim,40474,1150,29380,5,Düsseldorf
Düsseldorf,Angermund,40489,1000,551,5,Düsseldorf
Düsseldorf,Düsseltal,40239,2700,29240,5,Düsseldorf
Düsseldorf,Eller,40229,800,30190,5,Düsseldorf
Düsseldorf,Rath,40472,1200,15640,5,Düsseldorf
Düsseldorf,Holthausen,40589,880,10700,5,Düsseldorf
Düsseldorf,Mörsenbroich,40470,1200,34350,5,Düsseldorf
Düsseldorf,Ludenberg,40629,960,10780,5,Düsseldorf
Düsseldorf,Gerresheim,40627,880,17730,5,Düsseldorf
Düsseldorf,Urdenbach,40593,1200,18560,5,Düsseldorf
Düsseldorf,Düsseltal,40237,3200,90,5,Düsseldorf
Düsseldorf,Lohausen,40474,840,13630,5,Düsseldorf
Düsseldorf,Unterrath,40468,800,620,5,Düsseldorf
Düsseldorf,Düsseltal,40237,2000,18370,5,Düsseldorf
Düsseldorf,Niederkassel,40545,3900,20770,5,Düsseldorf
Düsseldorf,Eller,40229,880,31880,5,Düsseldorf
Düsseldorf,Oberkassel,40545,3500,30880,5,Düsseldorf
Düsseldorf,Niederkassel,40547,2900,24770,5,Düsseldorf
Düsseldorf,Eller,40229,730,23140,5,Düsseldorf
Düsseldorf,Gerresheim,40625,1550,25730,5,Düsseldorf
Düsseldorf,Himmelgeist,40589,1100,19250,5,Düsseldorf
Düsseldorf,Bilk,40221,1350,29740,5,Düsseldorf
Düsseldorf,Oberkassel,40549,1550,14470,5,Düsseldorf
Düsseldorf,Mörsenbroich,40470,660,27430,5,Düsseldorf
Düsseldorf,Urdenbach,40593,1100,29150,5,Düsseldorf
Düsseldorf,Hassels,40599,880,29560,5,Düsseldorf
Düsseldorf,Urdenbach,40593,1300,960,5,Düsseldorf
Düsseldorf,Mörsenbroich,40470,840,26970,5,Düsseldorf
Düsseldorf,Gerresheim,40625,1050,17790,5,Düsseldorf
Düsseldorf,Derendorf,40468,730,12570,5,Düsseldorf
Düsseldorf,Wersten,40591,960,30700,5,Düsseldorf
Düsseldorf,Heerdt,40549,1100,10430,5,Düsseldorf
Düsseldorf,Hellerhof,40595,660,36120,5,Düsseldorf
Düsseldorf,Gerresheim,40625,920,38870,5,Düsseldorf
Düsseldorf,Unterrath,40468,840,21650,5,Düsseldorf
Düsseldorf,Stockum,40474,1350,24920,5,Düsseldorf
Düsseldorf,Flehe,40223,1050,22010,5,Düsseldorf
Düsseldorf,Bilk,40225,840,14320,5,Düsseldorf
Düsseldorf,Eller,40229,840,23380,5,Düsseldorf
Düsseldorf,Eller,40229,920,21630,5,Düsseldorf
Düsseldorf,Lörick,40547,2300,11380,5,Düsseldorf
Düsseldorf,Bilk,40225,1350,25160,5,Düsseldorf
Düsseldorf,Hamm,40221,1250,18300,5,Düsseldorf
Düsseldorf,Unterrath,40472,740,22700,5,Düsseldorf
Düsseldorf,Rath,40472,840,25440,5,Düsseldorf
Düsseldorf,Hubbelrath,40629,800,7200,5,Düsseldorf
Düsseldorf,Gerresheim,40625,750,19180,5,Düsseldorf
Düsseldorf,Unterbach,40627,1100,7910,5,Düsseldorf
Düsseldorf,Benrath,40597,920,11590,5,Düsseldorf
Düsseldorf,Hellerhof,40595,660,35310,5,Düsseldorf
Düsseldorf,Heerdt,40549,620,50,5,Düsseldorf
Düsseldorf,Heerdt,40549,920,22040,5,Düsseldorf
Düsseldorf,Lörick,40547,1100,24720,5,Düsseldorf
Düsseldorf,Lörick,40547,1300,60,5,Düsseldorf
Düsseldorf,Ludenberg,40629,1350,12920,5,Düsseldorf
Düsseldorf,Lohausen,40474,800,20000,5,Düsseldorf
Düsseldorf,Kaiserswerth,40489,1000,10140,5,Düsseldorf
Düsseldorf,Itter,40589,1050,970,5,Düsseldorf
Düsseldorf,Kaiserswerth,40489,1550,530,5,Düsseldorf
Düsseldorf,Kaiserswerth,40489,1350,22070,5,Düsseldorf
Düsseldorf,Derendorf,40476,2000,29830,5,Düsseldorf
Düsseldorf,Flingern,40235,840,18910,5,Düsseldorf
Düsseldorf,Hafen,40221,5800,31370,5,Düsseldorf
Düsseldorf,Unterbilk,40219,2650,16770,5,Düsseldorf
Düsseldorf,Heerdt,40549,1450,34120,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,5000,98130,5,Düsseldorf
Düsseldorf,Unterbilk,40213,4200,96080,5,Düsseldorf
Düsseldorf,Unterbilk,40217,6000,98120,5,Düsseldorf
Düsseldorf,Carlstadt,40213,6700,96070,5,Düsseldorf
Düsseldorf,Carlstadt,40213,5800,96050,5,Düsseldorf
Düsseldorf,Karlstadt,40213,6800,96060,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,2800,98140,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,3100,98150,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,2300,98160,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,4600,99320,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,2600,99330,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,5500,99290,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,3000,99300,5,Düsseldorf
Düsseldorf,Oberbilk,40227,4400,95360,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,4200,99310,5,Düsseldorf
Düsseldorf,Karlstadt,40213,9200,96040,5,Düsseldorf
Düsseldorf,Stadtmitte,40213,16000,97070,5,Düsseldorf
Düsseldorf,Stadtmitte,40213,20000,96030,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,14000,97090,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,3850,99250,5,Düsseldorf
Düsseldorf,Stadtmitte,40211,5800,99240,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,7900,99260,5,Düsseldorf
Düsseldorf,Stadtmitte,40211,3450,99270,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,4600,99370,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,2600,99280,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,6600,99180,5,Düsseldorf
Düsseldorf,Stadtmitte,40211,2300,99210,5,Düsseldorf
Düsseldorf,Oberbilk,40227,2700,99220,5,Düsseldorf
Düsseldorf,Stadtmitte,40211,4000,99170,5,Düsseldorf
Düsseldorf,Flingern,40233,2500,99190,5,Düsseldorf
Düsseldorf,Stadtmitte,40233,2700,99230,5,Düsseldorf
Düsseldorf,Stadtmitte,40212,10600,97350,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,32000,97080,5,Düsseldorf
Düsseldorf,Stadtmitte,40210,12500,97110,5,Düsseldorf
Düsseldorf,Altstadt,40213,4600,96010,5,Düsseldorf
Düsseldorf,Altstadt,40213,6600,96020,5,Düsseldorf
Düsseldorf,Stadtmitte,40211,7100,99380,5,Düsseldorf
Düsseldorf,Friedrichstadt,40215,55000,97100,5,Düsseldorf
Düsseldorf,Stadtmitte,40212,32000,99200,5,Düsseldorf
Neuss,Dreikönigenviertel,41464,680,102001,2,Neuss
Neuss,Dreikönigenviertel,41464,740,102002,2,Neuss
Neuss,Dreikönigenviertel,41464,940,102003,2,Neuss
Neuss,Dreikönigenviertel,41464,660,102012,2,Neuss
Neuss,Dreikönigenviertel,41464,920,102016,2,Neuss
Neuss,Dreikönigenviertel,41464,820,102017,2,Neuss
Neuss,Augustinusviertel,41464,540,105001,2,Neuss
Neuss,Augustinusviertel,41464,480,105002,2,Neuss
Neuss,Augustinusviertel,41464,680,105004,2,Neuss
Neuss,Gnadental,41468,800,106003,2,Neuss
Neuss,Gnadental,41468,580,106011,2,Neuss
Neuss,Gnadental,41468,600,106012,2,Neuss
Neuss,Grimlinghausen,41468,840,107004,2,Neuss
Neuss,Uedesheim,41468,730,108001,2,Neuss
Neuss,Uedesheim,41468,980,108002,2,Neuss
Neuss,Uedesheim,41468,680,108003,2,Neuss
Neuss,Uedesheim,41468,660,108005,2,Neuss
Neuss,Uedesheim,41468,520,108006,2,Neuss
Neuss,Weckhoven,41466,580,109001,2,Neuss
Neuss,Selikum,41466,600,111003,2,Neuss
Neuss,Reuschenberg,41466,520,112001,2,Neuss
Neuss,Reuschenberg,41466,580,112002,2,Neuss
Neuss,Reuschenberg,41466,680,112003,2,Neuss
Neuss,Reuschenberg,41466,680,112004,2,Neuss
Neuss,Reuschenberg,41466,620,112005,2,Neuss
Neuss,Reuschenberg,41466,640,112008,2,Neuss
Neuss,Reuschenberg,41466,800,112009,2,Neuss
Neuss,Reuschenberg,41466,600,112011,2,Neuss
Neuss,Reuschenberg,41466,620,112014,2,Neuss
Neuss,Pomona,41464,580,113003,2,Neuss
Neuss,Pomona,41464,480,113004,2,Neuss
Neuss,Pomona,41464,620,113007,2,Neuss
Neuss,Stadionviertel,41464,560,114001,2,Neuss
Neuss,Stadionviertel,41464,700,114008,2,Neuss
Neuss,Stadionviertel,41464,640,114009,2,Neuss
Neuss,Stadionviertel,41464,680,114014,2,Neuss
Neuss,Stadionviertel,41464,860,114015,2,Neuss
Neuss,Stadionviertel,41464,660,114016,2,Neuss
Neuss,Morgensternsheide,41462,520,116002,2,Neuss
Neuss,Morgensternsheide,41462,560,116003,2,Neuss
Neuss,Furth-Mitte,41462,660,118001,2,Neuss
Neuss,Furth-Mitte,41462,660,118004,2,Neuss
Neuss,Furth-Mitte,41462,600,118005,2,Neuss
Neuss,Furth-Mitte,41462,620,118006,2,Neuss
Neuss,Furth-Mitte,41462,680,118007,2,Neuss
Neuss,Furth-Nord,41462,480,119001,2,Neuss
Neuss,Furth-Nord,41462,560,119003,2,Neuss
Neuss,Furth-Nord,41462,600,119004,2,Neuss
Neuss,Furth-Nord,41462,520,119006,2,Neuss
Neuss,Furth-Nord,41462,560,119007,2,Neuss
Neuss,Furth-Nord,41462,600,119008,2,Neuss
Neuss,Weißenberg,41462,580,120007,2,Neuss
Neuss,Vogelsang,41462,640,121005,2,Neuss
Neuss,Vogelsang,41462,580,121007,2,Neuss
Neuss,Vogelsang,41462,540,121008,2,Neuss
Neuss,Vogelsang,41462,640,121016,2,Neuss
Neuss,Holzheim,41472,600,123006,2,Neuss
Neuss,Gruissem,41472,360,123012,2,Neuss
Neuss,Dirkes,41472,400,124001,2,Neuss
Neuss,Röckrath,41472,470,124005,2,Neuss
Neuss,Hoisten,41469,540,125001,2,Neuss
Neuss,Hoisten,41469,520,125002,2,Neuss
Neuss,Hoisten,41469,460,125003,2,Neuss
Neuss,Hoisten,41469,540,125006,2,Neuss
Neuss,Helpenstein,41472,480,126001,2,Neuss
Neuss,Speck,41472,520,126002,2,Neuss
Neuss,Speck,41472,410,126003,2,Neuss
Neuss,Wehl,41472,460,126006,2,Neuss
Neuss,Wehl,41472,480,126007,2,Neuss
Neuss,Norf,41469,560,127001,2,Neuss
Neuss,Norf,41469,560,127003,2,Neuss
Neuss,Norf,41469,600,127010,2,Neuss
Neuss,Norf,41469,640,127015,2,Neuss
Neuss,Rosellen,41470,420,128006,2,Neuss
Neuss,Rosellen,41470,580,128010,2,Neuss
Neuss,Rosellen,41470,580,128011,2,Neuss
Neuss,Rosellen,41470,540,128012,2,Neuss
Neuss,Rosellen,41470,600,128013,2,Neuss
Neuss,Rosellen,41470,580,128015,2,Neuss
Neuss,Rosellen,41470,600,128016,2,Neuss
Neuss,Rosellen,41470,640,128018,2,Neuss
Neuss,Rosellen,41470,580,128020,2,Neuss
Neuss,Augustinusviertel,41464,520,105005,2,Neuss
Neuss,Stadionviertel,41464,840,114025,2,Neuss
Neuss,Holzheim,41472,660,123013,2,Neuss
Neuss,Vogelsang,41462,640,121017,2,Neuss
Neuss,Norf,41469,680,127016,2,Neuss
Neuss,Uedesheim,41468,920,108008,2,Neuss
Neuss,Erfttal,41469,500,110005,2,Neuss
Neuss,Erfttal,41469,480,110004,2,Neuss
Neuss,Furth-Mitte,41462,580,118002,2,Neuss
Neuss,Erfttal,41469,500,110006,2,Neuss
Neuss,Grimlinghausen,41468,780,107005,2,Neuss
Neuss,Pomona,41464,540,113010,2,Neuss
Neuss,Furth-Süd,41462,560,117004,2,Neuss
Neuss,Furth-Süd,41462,660,117005,2,Neuss
Neuss,Weißenberg,41462,520,120006,2,Neuss
Neuss,Vogelsang,41462,520,121001,2,Neuss
Neuss,Vogelsang,41462,500,121012,2,Neuss
Neuss,Vogelsang,41462,720,121014,2,Neuss
Neuss,Vogelsang,41462,500,121010,2,Neuss
Neuss,Vogelsang,41462,520,121009,2,Neuss
Neuss,Furth-Nord,41462,540,119005,2,Neuss
Neuss,Weißenberg,41462,600,120002,2,Neuss
Neuss,Weißenberg,41462,520,120005,2,Neuss
Neuss,Stadionviertel,41464,660,114023,2,Neuss
Neuss,Stadionviertel,41464,680,114019,2,Neuss
Neuss,Stadionviertel,41464,860,114002,2,Neuss
Neuss,Stadionviertel,41464,780,114004,2,Neuss
Neuss,Stadionviertel,41464,660,114007,2,Neuss
Neuss,Stadionviertel,41464,600,114010,2,Neuss
Neuss,Pomona,41464,600,113001,2,Neuss
Neuss,Pomona,41464,580,113006,2,Neuss
Neuss,Pomona,41464,660,113008,2,Neuss
Neuss,Dreikönigenviertel,41464,720,102006,2,Neuss
Neuss,Dreikönigenviertel,41464,680,102005,2,Neuss
Neuss,Dreikönigenviertel,41464,720,102010,2,Neuss
Neuss,Lanzerath,41472,520,124002,2,Neuss
Neuss,Grefrath,41472,520,124006,2,Neuss
Neuss,Gnadental,41468,640,106005,2,Neuss
Neuss,Gnadental,41468,860,106007,2,Neuss
Neuss,Gnadental,41468,600,106014,2,Neuss
Neuss,Gnadental,41468,580,106015,2,Neuss
Neuss,Grimlinghausen,41468,660,107002,2,Neuss
Neuss,Grimlinghausen,41468,640,107001,2,Neuss
Neuss,Selikum,41466,700,111007,2,Neuss
Neuss,Selikum,41466,780,111006,2,Neuss
Neuss,Selikum,41466,560,111002,2,Neuss
Neuss,Reuschenberg,41466,620,112007,2,Neuss
Neuss,Reuschenberg,41466,580,112006,2,Neuss
Neuss,Reuschenberg,41466,640,112015,2,Neuss
Neuss,Holzheim,41472,540,123001,2,Neuss
Neuss,Weckhoven,41466,500,109003,2,Neuss
Neuss,Erfttal,41469,560,110002,2,Neuss
Neuss,Norf,41469,520,127002,2,Neuss
