stadtteil_name,Jahr2020
Altstadt,38.5
Carlstadt,19.5
Stadtmitte,44.2
Pempelfort,23.4
Derendorf,25.1
Golzheim,20.0
Flingern Süd,36.9
Flingern Nord,24.2
Düsseltal,21.9
Friedrichstadt,34.3
Unterbilk / Hafen ,22.2
Hamm,10.6
Volmerswerth,12.8
Bilk,22.5
Oberbilk,36.6
Flehe,10.9
Oberkassel,17.7
Heerdt,31.2
Lörick,27.3
Niederkassel,25.0
Stockum,16.6
Lohausen,20.0
Kaiserswerth,19.0
Wittlaer,18.6
Angermund,12.0
Kalkum,10.9
Lichtenbroich,28.9
Unterrath,17.8
Rath,30.5
Mörsenbroich,25.1
Gerresheim,15.7
Grafenberg,18.0
Ludenberg,13.4
Hubbelrath*,8.1
Knittkuhl*,10.2
Lierenfeld,34.4
Eller,24.1
Vennhausen,13.7
Unterbach,10.0
Wersten,20.4
Himmelgeist,6.2
Holthausen,28.8
Reisholz,35.4
Benrath,16.7
Urdenbach,9.2
Itter,7.4
Hassels,33.1
Garath,23.3
Hellerhof,9.1
