Messdatum;Messdatum lang;Standort;Station ID;Device ID;Temperatur intern;Lufttemperatur;Relative Luftfeuchtigkeit;Niederschlag;Luftdruck;Kompassausrichtung;Windrichtung;Windgeschwindigkeit;Ostwind-Geschwindigkeit;Nordwind-Geschwindigkeit;Maximale Windgeschwindigkeit;x-Ausrichtungswinkel;y-Ausrichtungswinkel;Sonneneinstrahlung;Durchschnittliche Entfernung bei Blitzschlag;Anzahl der Blitzeinschläge;Dampfdruck;Thermistorwiderstand;Spannungsverhältnis;Protokollversion;Batteriespannung;Inserted at;Parser ID;Packet ID;Straße;Hausnummer;PLZ;Ort;Station ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
2026-01-22T09:52:57+00:00;2026-01-22T09:52:57.729556+00:00;51.49468777545645, 7.481143008002792;DOBWFP;d661ae4b-f89f-4cf7-bd31-59ff6601bd3c;;9.506684193019112;;;;;;;;;;;;;;;;213092.44562912703;0.003935575485229492;2;3.054;2026-01-22T09:52:57+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;275bbd36-c3df-4a73-9f2f-47e00a75dfa8;An der Buschmühle;;44139;Dortmund;DOBWFP;devices;dec00549c;DEC00549C;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.1m;2025-01-31;Dortmund
2026-01-22T09:52:55+00:00;2026-01-22T09:52:55.615951+00:00;51.51583, 7.46639;DOBBRS;f7be4ee0-762c-4d27-874d-83ef6e7028da;;1.309916816718328;;;;;;;;;;;;;;;;327139.38077370374;0.002716362476348877;2;2.978;2026-01-22T09:52:56+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;6c53eae9-45cf-43da-8b6b-569840e56386;Brückstraße;24;44135;Dortmund;DOBBRS;devices;dec005498;DEC005498;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
2026-01-22T09:52:34+00:00;2026-01-22T09:52:34.394877+00:00;51.49491, 7.37894;DOTPZW;1b1b6bb6-2d93-47df-be0b-b6edd09b5116;;1.1299305714503731;73.69039444571602;;;;;;;;;;;;;;;;;2;3.051;2026-01-22T09:52:34+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;9886668a-29ac-4a30-8699-f1508bdfdbf5;Pruzzenweg;10;44149;Dortmund;DOTPZW;devices;dec0054a9;DEC0054A9;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
2026-01-22T09:52:33+00:00;2026-01-22T09:52:33.86877+00:00;51.52485, 7.44337;DOBSPS;ec81544b-fcdc-44d8-9e9e-3e28456ceef1;;5.78147215326095;;;;;;;;;;;;;;;;258261.81727373268;0.0033415555953979492;2;3.066;2026-01-22T09:52:34+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;ae61603a-2d0a-432c-b144-651aae9ac569;Speicherstraße;;44147;Dortmund;DOBSPS;devices;dec005496;DEC005496;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-15;Dortmund
2026-01-22T09:52:30+00:00;2026-01-22T09:52:30.150802+00:00;51.548453, 7.56136;DOTAWS;41461723-0cd8-47eb-8765-79c803565118;;1.495765621423665;66.11886778057527;;;;;;;;;;;;;;;;;2;3.027;2026-01-22T09:52:30+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;c06e5b9c-2f90-4f31-8c12-37149b1a601b;Am Wirksfeld;152;44328;Dortmund;DOTAWS;devices;dec004d15;DEC004D15;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-06-03;Dortmund
2026-01-22T09:52:29+00:00;2026-01-22T09:52:29.274192+00:00;51.508234, 7.425488;DOTAMB;4228e938-c64c-4493-939a-bd06965c0282;;2.075226977950713;69.44991226062409;;;;;;;;;;;;;;;;;2;3.093;2026-01-22T09:52:29+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;abbd92d7-6eff-4937-a192-c86924db2af6;Am Mühlenberg;;44149;Dortmund;DOTAMB;devices;dec004d1f;DEC004D1F;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-13;Dortmund
2026-01-22T09:52:28+00:00;2026-01-22T09:52:28.226114+00:00;51.491667, 7.495506;DOTEPM;ea8abc75-71eb-422d-92d4-67e71e27be09;;3.0312046997787476;70.74235141527429;;;;;;;;;;;;;;;;;2;3.007;2026-01-22T09:52:28+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;00d0e8be-5caf-4255-9767-12aa52d3c20d;Emscherpromenade;;44263;Dortmund;DOTEPM;devices;dec004d13;DEC004D13;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-14;Dortmund
2026-01-22T09:52:27+00:00;2026-01-22T09:52:27.235477+00:00;51.51321814079135, 7.463944015394063;DOBHAP;6da26775-2b8e-4396-ade6-282e659fdfcb;1.5;1.0;;0.0;98.75;0;147.6;1.59;0.85;-1.34;2.87;-90.0;90.0;48;0.0;0;0.45;;;2;2.8;2026-01-22T09:52:27+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;a694e537-fde7-4cfc-8851-08d459560cce;Hansaplatz;;44137;Dortmund;DOBHAP;devices;dec005305;DEC005305;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-01-31;Dortmund
2026-01-22T09:52:25+00:00;2026-01-22T09:52:25.86835+00:00;51.544714210727484, 7.376404414857603;DOBKPW;f70bda71-97fc-4e95-84cf-5ca39074c73a;2.8;1.0;;0.0;98.81;0;48.7;0.91;0.68;0.6;2.03;1.2;-2.3;189;0.0;0;0.52;;;2;2.905;2026-01-22T09:52:26+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;c5a2df73-1834-4219-bd6a-4dec224695a3;Kiepeweg;12;44357;Dortmund;DOBKPW;devices;dec00547b;DEC00547B;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-01-31;Dortmund
2026-01-22T09:52:22+00:00;2026-01-22T09:52:22.77051+00:00;51.52820301884539, 7.48333434405322;DOBOHS;89262670-1205-4e6a-83db-0545692abea9;-0.1;0.4;;0.0;98.84;0;334.8;0.71;-0.3;0.64;1.69;1.8;1.1;37;0.0;0;0.44;;;2;2.727;2026-01-22T09:52:22+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;7b51b364-eb32-4714-8ceb-092df018c364;Oesterholzstraße;122;44145;Dortmund;DOBOHS;devices;dec00547a;DEC00547A;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-03-04;Dortmund
2026-01-22T09:52:20+00:00;2026-01-22T09:52:20.137332+00:00;51.5326028965, 7.506398772;DOTWBB;431bbb55-d2cb-4595-8204-de60be228164;;0.6599526970321179;69.8817425803006;;;;;;;;;;;;;;;;;2;3.11;2026-01-22T09:52:20+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;0c06e429-bcf2-4d5b-bebd-c5e38c839fd7;Warmbreitbandstraße;;44145;Dortmund;DOTWBB;devices;dec004d1b;DEC004D1B;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
2026-01-22T09:51:52+00:00;2026-01-22T09:51:52.539414+00:00;51.489444383733, 7.447220950248622;DODBOL;489fccfc-032c-474c-8bff-8fa583e01437;-2.0;-1.8;;0.0;98.76;0;27.6;0.13;0.06;0.12;0.24;0.7;2.1;35;0.0;0;0.54;;;2;2.785;2026-01-22T09:51:52+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;45cb877b-7f60-4766-b818-6f17e7b28f0e;Bolmker Weg;;44225;Dortmund;DODBOL;devices;dec005452;DEC005452;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-03-13;Dortmund
2026-01-22T09:51:47+00:00;2026-01-22T09:51:47.14092+00:00;51.502932806491565, 7.51076541487551;DOBDHS;0b1a7b19-e6aa-4dfb-8df2-993231e5861c;2.7;1.1;;0.0;98.27;0;31.5;0.74;0.39;0.63;1.23;-0.7;-0.8;227;0.0;0;0.54;;;2;2.832;2026-01-22T09:51:47+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;6a4fc366-41d3-4490-ba1b-a005244863dc;Droste-Hülshoff-Straße;1A;44141;Dortmund;DOBDHS;devices;dec005470;DEC005470;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-06;Dortmund
2026-01-22T09:51:43+00:00;2026-01-22T09:51:43.749811+00:00;51.48439, 7.43782;DOTABS;30f074fe-a2d6-4693-9bc2-ad4865fa00f1;;2.2461280231937124;71.4198519874876;;;;;;;;;;;;;;;;;2;3.107;2026-01-22T09:51:44+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;96b08125-3244-4f04-835f-fc72de407b02;Am Beilstück;24;44225;Dortmund;DOTABS;devices;dec0054b9;DEC0054B9;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-15;Dortmund
2026-01-22T09:51:41+00:00;2026-01-22T09:51:41.608139+00:00;51.48472, 7.50269;DOBCLA;cf71bb6e-ab0f-47eb-89c1-fb3d35e5e148;;8.694114184716568;;;;;;;;;;;;;;;;222138.9943222811;0.0038002729415893555;2;3.049;2026-01-22T09:51:41+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;ee54f6c1-b703-4095-a63c-f85952dc7fbe;Clarenberg;1;44263;Dortmund;DOBCLA;devices;dec005487;DEC005487;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-08;Dortmund
2026-01-22T09:51:30+00:00;2026-01-22T09:51:30.606983+00:00;51.51003, 7.44808;DOBWEP;21725f11-3489-4edb-9936-8371860ffc17;1.3;0.8;;0.0;98.53;0;72.5;0.41;0.39;0.12;0.99;0.7;-0.2;76;0.0;0;0.51;;;2;2.863;2026-01-22T09:51:31+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;f300de4d-84ad-4886-8693-59e276b36500;Ritterhausstraße;32;44137;Dortmund;DOBWEP;devices;dec005471;DEC005471;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
2026-01-22T09:51:27+00:00;2026-01-22T09:51:27.519317+00:00;51.52179, 7.4713;DOBHAN;6c43e902-acc5-491f-9ac2-a29eb031db6a;0.1;0.5;;0.0;98.8;0;82.7;1.07;1.06;0.14;2.07;-1.2;-2.6;30;0.0;0;0.47;;;2;2.856;2026-01-22T09:51:28+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;92697043-d93b-46ce-beb8-b839c1cba384;Lauenburger Straße;2;44145;Dortmund;DOBHAN;devices;dec005478;DEC005478;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
2026-01-22T09:51:13+00:00;2026-01-22T09:51:13.284222+00:00;51.52526581856891, 7.365322474301303;DOTBHS;f418b97f-7a51-45a7-a9a7-ab14e72a6ded;;0.6065461203936806;71.94476234073396;;;;;;;;;;;;;;;;;2;3.005;2026-01-22T09:51:14+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;57a6c036-f2c9-4045-8053-4c19160f1b3e;Blotenhofstraße;1a;44379;Dortmund;DOTBHS;devices;dec0054d0;DEC0054D0;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
2026-01-22T09:51:09+00:00;2026-01-22T09:51:09.912491+00:00;51.49252351390988, 7.414330333294123;DOBMSP;a4e4f6f3-a588-4e8e-80b1-614c5b3bc0ac;;1.0245508183363086;;;;;;;;;;;;;;;;332183.6199034633;0.0026796460151672363;2;3.066;2026-01-22T09:51:10+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;f65fa7c6-f756-4300-8830-a1afce6d6089;Vogelpothsweg;;44227;Dortmund;DOBMSP;devices;dec005499;DEC005499;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2025-04-17;Dortmund
2026-01-22T09:51:09+00:00;2026-01-22T09:51:09.87115+00:00;51.48268, 7.56111;DOTSTS;a5234aae-407f-4074-9d99-59fe754e19b6;;4.417105363546199;65.83962767986571;;;;;;;;;;;;;;;;;2;3.051;2026-01-22T09:51:10+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;b6109b54-7d89-4ebf-b48a-b8abf3568e2f;Schwerter Straße;281;44287;Dortmund;DOTSTS;devices;dec0054c8;DEC0054C8;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
2026-01-22T09:50:53+00:00;2026-01-22T09:50:53.05343+00:00;51.52179, 7.4713;DOBHAN;98484de5-8aed-4aee-800e-0eb6a73864c0;;0.8601630821197546;;;;;;;;;;;;;;;;335128.5954489407;0.002658665180206299;2;3.105;2026-01-22T09:50:53+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;55915abb-b755-491f-b0e1-c21f8ff579b5;Lauenburger Straße;2;44145;Dortmund;DOBHAN;devices;dec0054a2;DEC0054A2;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
2026-01-22T09:50:49+00:00;2026-01-22T09:50:49.762453+00:00;51.544714210727484, 7.376404414857603;DOBKPW;4ea11cc0-1e8e-4b94-b3da-bc26c348f383;;6.006865158432163;;;;;;;;;;;;;;;;255244.5217452722;0.0033755898475646973;2;3.073;2026-01-22T09:50:51+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;8a39a2f5-e760-44de-88ed-17a3a2c8a979;Kiepeweg;12;44357;Dortmund;DOBKPW;devices;dec00549e;DEC00549E;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2025-01-31;Dortmund
