Messdatum;Messdatum lang;Standort;Station ID;Device ID;Temperatur intern;Lufttemperatur;Relative Luftfeuchtigkeit;Niederschlag;Luftdruck;Kompassausrichtung;Windrichtung;Windgeschwindigkeit;Ostwind-Geschwindigkeit;Nordwind-Geschwindigkeit;Maximale Windgeschwindigkeit;x-Ausrichtungswinkel;y-Ausrichtungswinkel;Sonneneinstrahlung;Durchschnittliche Entfernung bei Blitzschlag;Anzahl der Blitzeinschläge;Dampfdruck;Thermistorwiderstand;Spannungsverhältnis;Protokollversion;Batteriespannung;Inserted at;Parser ID;Packet ID;Straße;Hausnummer;PLZ;Ort;Station ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
2026-01-22T09:51:14+00:00;2026-01-22T09:51:14.504302Z;51.49392, 7.4504;DOBSBA;dfb38503-57bf-4a1f-9028-8307b7c2ac3f;;0.7042179670143014;;;;;;;;;;;;;;;;337949.1563707;0.002638876438140869;2;3.02;2026-01-22T09:51:14+00:00;e978a66a-ece3-4889-b43a-b7b00830ff3e;6ab0acd5-892c-47fb-a431-f9ef78558faf;Strobelallee;54;44139;Dortmund;DOBSBA;devices;dec0054a3;DEC0054A3;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
2026-01-22T09:51:13+00:00;2026-01-22T09:51:13.284222Z;51.52526581856891, 7.365322474301303;DOTBHS;f418b97f-7a51-45a7-a9a7-ab14e72a6ded;;0.6065461203936806;71.94476234073396;;;;;;;;;;;;;;;;;2;3.005;2026-01-22T09:51:14+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;57a6c036-f2c9-4045-8053-4c19160f1b3e;Blotenhofstraße;1a;44379;Dortmund;DOTBHS;devices;dec0054d0;DEC0054D0;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
2026-01-22T09:50:52+00:00;2026-01-22T09:50:52.717525Z;51.50910275108166, 7.456720547474519;DOBBHS;dfa81526-a4bf-4434-bc02-d850d1abbd98;0.0;0.7;;0.0;98.47;0;86.2;0.78;0.77;0.05;1.53;-0.6;-1.1;18;0.0;0;0.47;;;2;2.846;2026-01-22T09:50:53+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;eeff5f34-6c3f-404a-9a5b-35cbdadf4e91;Beurhausstraße;39;44137;Dortmund;DOBBHS;devices;dec005472;DEC005472;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
2026-01-22T09:50:46+00:00;2026-01-22T09:50:46.337905Z;51.564410363948205, 7.383330847995142;DOTAMS;308586aa-49ac-4efe-8669-4054110d1def;;0.8415350576028047;68.07660028992142;;;;;;;;;;;;;;;;;2;3.037;2026-01-22T09:50:46+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;b6c305d5-4d5b-4529-95c3-fe9e862fc07b;Ammerstraße;47;44359;Dortmund;DOTAMS;devices;dec0054ce;DEC0054CE;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
2026-01-22T09:50:45+00:00;2026-01-22T09:50:45.920750Z;51.5156550571, 7.3161508734;DOTADK;afb10081-043c-4a8b-8257-b712b9a6b1f7;;1.1646448462653538;69.8817425803006;;;;;;;;;;;;;;;;;2;3.046;2026-01-22T09:50:46+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;3a40d18d-2b71-477c-9641-049ded760214;Bövinghauser Dorfstraße;;44388;Dortmund;DOTADK;devices;dec0054c4;DEC0054C4;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-15;Dortmund
2026-01-22T09:50:31+00:00;2026-01-22T09:50:31.810176Z;51.54538, 7.52325;DOTGRW;ec39ac31-f100-4b5c-8225-0b523ffb7de4;;1.1619745174334355;68.82276646066987;;;;;;;;;;;;;;;;;2;3.054;2026-01-22T09:50:32+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;ef157aed-247c-49af-8403-6e42f962c5b1;Grunewald;24;44328;Dortmund;DOTGRW;devices;dec0054c6;DEC0054C6;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
2026-01-22T09:49:56+00:00;2026-01-22T09:49:56.761464Z;51.5229401099, 7.4814329521;DOTOHS;f40000f8-644c-4a2f-9aac-cdca237b55ea;;0.6866559853513365;72.55817502098115;;;;;;;;;;;;;;;;;2;2.927;2026-01-22T09:49:57+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;6d3a66af-0604-4017-84f2-608f167b3558;Oesterholzstraße;36-38;44145;Dortmund;DOTOHS;devices;dec0054b7;DEC0054B7;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
2026-01-22T09:49:54+00:00;2026-01-22T09:49:54.641690Z;51.5229401099, 7.4814329521;DOTOHS;f40000f8-644c-4a2f-9aac-cdca237b55ea;;0.6866559853513365;72.55817502098115;;;;;;;;;;;;;;;;;2;2.927;2026-01-22T09:49:55+00:00;d2fb48e4-2421-4a17-acb9-a3abacec5a66;fa99ffd2-633c-47f8-8d9b-dc283f793e92;Oesterholzstraße;36-38;44145;Dortmund;DOTOHS;devices;dec0054b7;DEC0054B7;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
2026-01-22T09:49:09+00:00;2026-01-22T09:49:09.163990Z;51.5152782257544, 7.453501657184866;DOBDOU;e0b8572d-d0e5-4db5-9196-8452672b6811;0.4;0.6;;0.0;98.5;0;354.3;1.38;-0.14;1.37;2.43;-1.4;3.4;23;0.0;0;0.48;;;2;2.807;2026-01-22T09:49:09+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;a72013f3-48ba-4152-8a19-e228f1c1e567;Leonie-Reygers-Terrasse;2;44137;Dortmund;DOBDOU;devices;dec005473;DEC005473;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-05;Dortmund
2026-01-22T09:49:34+00:00;2026-01-22T09:49:34.189097Z;51.52267, 7.4592;DOBDKP;fc70122c-3c93-478a-96a6-9fdff796d16f;1.3;0.6;;0.0;98.8;0;65.9;1.27;1.16;0.52;3.03;1.4;-1.8;85;0.0;0;0.46;;;2;2.88;2026-01-22T09:49:34+00:00;285e1581-1c02-415f-84ff-6cff49b7e5c9;1fccae34-5358-4855-a854-f21579fbf8b5;Uhlandstraße;19;44147;Dortmund;DOBDKP;devices;dec005306;DEC005306;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
