Standort;Straße;Hausnummer;PLZ;Ort;Station ID;Device ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
51.52179, 7.4713;Lauenburger Straße;2;44145;Dortmund;DOBHAN;98484de5-8aed-4aee-800e-0eb6a73864c0;devices;dec0054a2;DEC0054A2;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
51.516898431325856, 7.459445718650828;Königswall;15;44137;Dortmund;DOBHBF;aaba1430-6185-4588-a840-07c5985aa060;devices;dec005495;DEC005495;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-07;Dortmund
51.52822941492969, 7.483302541737672;Oesterholzstraße;122;44145;Dortmund;DOBOHS;bb71ba25-10a1-4e69-885e-5e7dd21f66e3;devices;dec00549a;DEC00549A;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-12-11;Dortmund
51.49468777545645, 7.481143008002792;An der Buschmühle;;44139;Dortmund;DOBWFP;d661ae4b-f89f-4cf7-bd31-59ff6601bd3c;devices;dec00549c;DEC00549C;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.1m;2025-01-31;Dortmund
51.502932806491565, 7.51076541487551;Droste-Hülshoff-Straße;1A;44141;Dortmund;DOBDHS;dce382e2-a351-44c8-a3ae-dd2c36765b92;devices;dec005494;DEC005494;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-06;Dortmund
51.47554, 7.43287;Harkortstraße;119;44225;Dortmund;DOBHKS;1d61d0b6-372d-4079-b13d-41caae2f1fde;devices;dec005309;DEC005309;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-07-03;Dortmund
51.49650526481517, 7.458125714102572;Westfalenhalle;;44139;Dortmund;DOBWFH;4466a45a-ac75-4f78-92f2-df0db67f98b8;devices;dec00546d;DEC00546D;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-14;Dortmund
51.51116, 7.46607;Friedensplatz;;44135;Dortmund;DODFRP;7141a18e-2a80-4831-bf56-b89338fb2eb6;devices;dec005476;DEC005476;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-06;Dortmund
51.51583, 7.46639;Brückstraße;24;44135;Dortmund;DOBBRS;e72cb7ea-f187-4f77-a2bd-43917ca50d92;devices;dec005474;DEC005474;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
51.544714210727484, 7.376404414857603;Kiepeweg;12;44357;Dortmund;DOBKPW;f70bda71-97fc-4e95-84cf-5ca39074c73a;devices;dec00547b;DEC00547B;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-01-31;Dortmund
51.50922, 7.49188;Robert-Koch-Straße;;44143;Dortmund;DOTOFH;00b9f108-c4b0-4831-bda1-57ad891fedcf;devices;dec004d1e;DEC004D1E;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-04-17;Dortmund
51.54268785590466, 7.5373509652616795;Flughafenstraße;351;44328;Dortmund;DOTFLU;090628bc-1f57-48fe-a49b-f68d9ba574c6;devices;dec0054c1;DEC0054C1;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-13;Dortmund
51.49119375557483, 7.504996593325032;Kaipromenade;;44263;Dortmund;DODPHX;125f6b94-b470-4360-bf59-c4135cd573b4;devices;dec0054b0;DEC0054B0;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-06;Dortmund
51.49491, 7.37894;Pruzzenweg;10;44149;Dortmund;DOTPZW;1b1b6bb6-2d93-47df-be0b-b6edd09b5116;devices;dec0054a9;DEC0054A9;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.52664196588405, 7.38714634940562;Boschstraße;113;44369;Dortmund;DOTBOS;1f1bdffe-3b11-4d31-8ad9-f3c37ff72ff2;devices;dec0054cd;DEC0054CD;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.5495463613, 7.587508775;Felheuerstraße;11;44319;Dortmund;DOTFHS;28f9c303-98c0-4b52-9a46-b185ece42007;devices;dec0054c5;DEC0054C5;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-09;Dortmund
51.45392, 7.49041;Am Wildgatter;5;44265;Dortmund;DOTAWG;337467c4-0a22-4b85-baae-a4698ac0cddf;devices;dec0054c7;DEC0054C7;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.469819, 7.488517;Steinbreite;1;44265;Dortmund;DOTSTB;3e2420d3-1281-4648-8638-81df8530b71b;devices;dec0054a8;DEC0054A8;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-08;Dortmund
51.511644342163805, 7.4681351373852864;Kleppingstraße;33;44135;Dortmund;DOTKLS;3f7964d9-a03c-4756-942a-a65093951555;devices;dec0054b2;DEC0054B2;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-06;Dortmund
51.57104, 7.52257;Bogenstraße;71;44329;Dortmund;DOTBGS;5872199f-eb64-484d-abcb-e8dec48039a4;devices;dec0054a5;DEC0054A5;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.53651737524723, 7.6284885906159055;Hildegundsweg;7;44319;Dortmund;DOTHGW;6a796d00-b761-4757-a860-69e9baf421c9;devices;dec0054be;DEC0054BE;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-13;Dortmund
51.502293, 7.329523;Volksgartenstraße;40;44388;Dortmund;DOTVGS;832320fc-e25a-4a9f-a7ec-6fcec5d8a38b;devices;dec004d17;DEC004D17;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-14;Dortmund
51.46505599973308, 7.402632557603294;Zur Hockeneicke;;44227;Dortmund;DOTZHE;bdad45bd-4c19-41f2-a73f-43c587d70043;devices;dec004d25;DEC004D25;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-04-17;Dortmund
51.50177165615506, 7.461782102823495;Alter Mühlenweg;69;44139;Dortmund;DOTAMW;c86c247d-e430-450c-b2ca-0987ab2ee123;devices;dec0054d1;DEC0054D1;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-06;Dortmund
51.57246163193284, 7.462459657819131;Schimmelreiterweg;42;44339;Dortmund;DOTSRW;da59a1ac-c3fe-4d41-a192-38ab111e07e2;devices;dec0054ac;DEC0054AC;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.511863139908236, 7.4432154834909445;Adlerstraße;50;44137;Dortmund;DOTADS;e142b9a9-9b9f-44bc-8b7b-67eb76634f11;devices;dec0054aa;DEC0054AA;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-06;Dortmund
51.53722, 7.43698;Fredenbaumpark, Abenteuerspielplatz;;44147;Dortmund;DOTFBP;e311795c-b074-4c73-8f2c-080716453312;devices;dec004d14;DEC004D14;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
51.59266098252462, 7.416333276052667;Königsheide;298;44359;Dortmund;DOTKOH;e988a5b3-76c2-475d-8672-186c2fde5a75;devices;dec0054b8;DEC0054B8;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-07;Dortmund
51.47554, 7.43287;Harkortstraße;119;44225;Dortmund;DOBHKS;3b9497bb-1f1e-444d-baff-46ea0c03667b;devices;dec00548d;DEC00548D;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-30;Dortmund
51.509104, 7.456679;Beurhausstraße;39;44137;Dortmund;DOBBHS;59c2d6c4-d82d-42c0-bae9-072809c9bfcc;devices;dec00548c;DEC00548C;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
51.51321814079135, 7.463944015394063;Hansaplatz;;44137;Dortmund;DOBHAP;9e0f885e-95c9-4de8-aaae-20e8a01d50fc;devices;dec00548b;DEC00548B;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-05;Dortmund
51.51527822575448, 7.453501657184866;Leonie-Reygers-Terrasse;2;44137;Dortmund;DOBDOU;d46aaf59-68e1-4ab4-ba38-a94a0078b182;devices;dec00548e;DEC00548E;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-05;Dortmund
51.51003, 7.44808;Ritterhausstraße;32;44137;Dortmund;DOBWEP;032ea2cd-6979-4a0e-8837-ac475cffd1bf;devices;dec005490;DEC005490;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
51.544714210727484, 7.376404414857603;Kiepeweg;12;44357;Dortmund;DOBKPW;4ea11cc0-1e8e-4b94-b3da-bc26c348f383;devices;dec00549e;DEC00549E;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2025-01-31;Dortmund
51.55210849344351, 7.544515137413732;Gleiwitzstraße;227;44328;Dortmund;DODGWS;8aafa77d-a8a4-4626-8709-66d540d38895;devices;dec005497;DEC005497;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-08;Dortmund
51.49252351390988, 7.414330333294123;Vogelpothsweg;;44227;Dortmund;DOBMSP;a4e4f6f3-a588-4e8e-80b1-614c5b3bc0ac;devices;dec005499;DEC005499;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2025-04-17;Dortmund
51.49146258179979, 7.563339438462499;Schweizer Allee;18;44287;Dortmund;DOBGAS;aeb0ce0f-553b-462c-b7fd-c1e47e9366bd;devices;dec00549d;DEC00549D;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2025-03-14;Dortmund
51.49119375557483, 7.504996593325032;Kaipromenade;;44263;Dortmund;DODPHX;bf9ace64-82a1-4667-83d0-034cd5aae299;devices;dec005493;DEC005493;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-06;Dortmund
