LATITUDE;LONGITUDE;ART;NAME;EINRICHTUNG;STRASSE;HAUSNUMMER;PLZ;STADT;STADTTEIL;TELEFON;URL;STADTBEZIRK;STADTTEILNR;OSTWERT;NORDWERT
51.24311361;6.77860546;Integrationsagentur;Jüdische Gemeinde Düsseldorf;;Paul-Spiegel-Platz;1;40476;Düsseldorf;Golzheim;0211 469120;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111489;01;016;32344950;5679205
51.24121751;6.7824794;Welcome Point;Diakonie Düsseldorf;;Münsterstraße;6;40477;Düsseldorf;Pempelfort;0173 1595348;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;01;014;32345214;5678986
51.18529708;6.86178331;Integrationsagentur;DRK Integrationsagentur Düsseldorf;Servicestelle für Antidiskriminierungsarbeit in Düsseldorf;Potsdamer Straße;41;40599;Düsseldorf;Hassels;0211 22995855;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111488;09;098;32350568;5672604
51.20893807;6.82987644;Integrationsagentur;Multikulturelles Forum e.V.;;Posener Straße;2;40231;Düsseldorf;Lierenfeld;0211 95742942;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111487;08;081;32348416;5675298
51.21784853;6.86445667;Integrationsagentur;Caritasverband Düsseldorf e.V.;;Katharinenstraße;9;40627;Düsseldorf;Gerresheim;0211 275907;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111486;07;071;32350860;5676218
51.26302286;6.80660147;Integrationsagentur;Caritasverband Düsseldorf e.V.;Rather Familienzentrum;Rather Kreuzweg;43;40472;Düsseldorf;Rath;0211 20032414;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111484;06;063;32346970;5681360
51.21278796;6.792423;Integrationsagentur;Diakonie Düsseldorf;;Sonnenstraße;14;40233;Düsseldorf;Oberbilk;0211 6012688;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111492;03;037;32345813;5675804
51.14606701;6.90048657;Integrationsagentur;Kin-Top Düsseldorf e.V.;;Stettiner Straße;120;40595;Düsseldorf;Garath;0211 69871231;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111490;10;101;32353148;5668164
51.24797895;6.79523736;Integrationsagentur;Arbeiterwohlfahrt Düsseldorf e.V.;;Liststraße;2;40470;Düsseldorf;Düsseltal;0211 60025181;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111490;02;023;32346127;5679711
51.22552101;6.80666657;Jugendmigrationsdienst;Diakonie Düsseldorf;;Platz der Diakonie;2A;40233;Düsseldorf;Flingern Süd;0211 91318835;https://www.jugendmigrationsdienste.de/jmd/duesseldorf-zentrale/;02;021;32346850;5677190
51.16526151;6.88166323;Welcome Point;Arbeiterwohlfahrt Düsseldorf e.V.;;Telleringstraße;56;40597;Düsseldorf;Benrath;0162 8783812;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;09;095;32351893;5670336
