year,district_no,district,pop_total,pop_migration,pop_no_migration,migration_share,service_count,Fokusteam Flüchtlinge,Integration Point Düsseldorf,Integrationsagentur,Jugendmigrationsdienst,Sinti-Beratung,Welcome Center,Welcome Point,service_per_10k
2024,13,Stadtmitte,16469,10854,5615,0.6590564090108689,0.0,,,,,,,,0.0
2024,98,Hassels,18893,11904,6989,0.630074630815646,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.587889694595882
2024,33,Hafen,398,247,151,0.6206030150753769,0.0,,,,,,,,0.0
2024,37,Oberbilk,31869,19411,12458,0.6090872007279802,7.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.19649188866924
2024,21,Flingern Sued,10258,6206,4052,0.6049912263599142,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.9496977968414895
2024,94,Reisholz,3646,2174,1472,0.596269884805266,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7427317608337907
2024,11,Altstadt,2491,1478,1013,0.5933360096346849,0.0,,,,,,,,0.0
2024,63,Rath,22835,13462,9373,0.5895336106853515,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.3137727173199036
2024,93,Holthausen,12755,7428,5327,0.582359858878871,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7840062720501764
2024,81,Lierenfeld,10926,6351,4575,0.5812740252608457,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9152480322167308
2024,61,Lichtenbroich,6374,3594,2780,0.5638531534358331,0.0,,,,,,,,0.0
2024,42,Heerdt,13561,7558,6003,0.5573335299756655,0.0,,,,,,,,0.0
2024,31,Friedrichstadt,20255,11138,9117,0.5498889163169588,0.0,,,,,,,,0.0
2024,101,Garath,18986,10368,8618,0.546086590119035,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5267038870746866
2024,64,Moersenbroich,17533,9026,8507,0.5148006616095363,0.0,,,,,,,,0.0
2024,82,Eller,30978,15478,15500,0.4996449092904642,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.968429207824908
2024,43,Loerick,8384,4052,4332,0.4833015267175573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1927480916030533
2024,15,Derendorf,21966,10123,11843,0.46084858417554403,0.0,,,,,,,,0.0
2024,22,Flingern Nord,26371,12074,14297,0.4578514277046756,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.379204429107732
2024,23,Duesseltal,29411,13284,16127,0.45166774336132737,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6800176804596919
2024,91,Wersten,26872,11860,15012,0.44135159273593333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3721345638582912
