Geburtsjahr;maennlich;weiblich
1914;.;-
1915;-;.
1917;.;3
1918;.;3
1919;-;11
1920;3;24
1921;5;27
1922;9;53
1923;14;71
1924;28;120
1925;45;153
1926;76;247
1927;101;318
1928;159;437
1929;228;535
1930;285;652
1931;368;713
1932;426;814
1933;545;900
1934;784;1458
1935;1022;1706
1936;1136;1884
1937;1429;2190
1938;1561;2444
1939;1837;2701
1940;2036;2865
1941;2004;2750
1942;1790;2483
1943;1823;2530
1944;1876;2726
1945;1617;2179
1946;1932;2494
1947;2088;2725
1948;2264;2774
1949;2450;3053
1950;2499;3063
1951;2442;3052
1952;2587;3137
1953;2565;3143
1954;2779;3248
1955;2910;3323
1956;3151;3402
1957;3351;3599
1958;3411;3703
1959;3669;3966
1960;4055;4061
1961;4192;4191
1962;4379;4457
1963;4601;4487
1964;4864;4775
1965;4940;4725
1966;5171;4787
1967;5164;4778
1968;5084;4939
1969;4825;4731
1970;4716;4518
1971;4611;4457
1972;4362;4070
1973;4121;4112
1974;3980;4178
1975;4207;4054
1976;4280;4292
1977;4228;4387
1978;4191;4409
1979;4405;4428
1980;4615;4757
1981;4655;4691
1982;4866;4869
1983;4814;4883
1984;4799;4903
1985;5103;4987
1986;5278;5258
1987;5424;5339
1988;5677;5747
1989;5605;5655
1990;5857;5882
1991;5568;5801
1992;5767;5851
1993;5396;5789
1994;5067;5524
1995;4832;5088
1996;4667;5091
1997;4285;4871
1998;3876;4135
1999;3534;3789
2000;3304;3616
2001;2997;3324
2002;2918;3092
2003;2656;2736
2004;2762;2619
2005;2674;2623
2006;2811;2527
2007;2839;2672
2008;3037;2767
2009;2873;2698
2010;3020;2791
2011;2801;2660
2012;3011;2680
2013;2929;2876
2014;3002;3008
2015;3072;2872
2016;3163;3019
2017;3196;2965
2018;3123;2929
2019;3010;2825
2020;2988;2904
2021;3212;2978
2022;2995;2883
