Geburtsjahr;maennlich;weiblich
1916;-;.
1917;.;.
1918;.;.
1919;-;.
1920;.;9
1921;.;7
1922;.;14
1923;6;30
1924;9;45
1925;18;67
1926;39;120
1927;42;173
1928;74;246
1929;122;328
1930;165;420
1931;234;482
1932;270;584
1933;358;667
1934;560;1103
1935;759;1345
1936;871;1537
1937;1150;1841
1938;1280;2115
1939;1542;2389
1940;1737;2554
1941;1737;2495
1942;1544;2247
1943;1588;2299
1944;1677;2532
1945;1442;2026
1946;1746;2332
1947;1905;2583
1948;2078;2631
1949;2262;2918
1950;2332;2923
1951;2300;2965
1952;2449;3009
1953;2413;3056
1954;2616;3135
1955;2789;3222
1956;2973;3311
1957;3183;3469
1958;3256;3598
1959;3518;3837
1960;3880;3957
1961;4049;4091
1962;4255;4352
1963;4503;4398
1964;4757;4706
1965;4781;4655
1966;5053;4720
1967;5047;4721
1968;4978;4851
1969;4750;4720
1970;4648;4485
1971;4489;4438
1972;4262;4046
1973;4035;4079
1974;3934;4129
1975;4135;4029
1976;4233;4294
1977;4204;4301
1978;4118;4406
1979;4322;4373
1980;4579;4698
1981;4545;4635
1982;4755;4772
1983;4673;4765
1984;4707;4804
1985;5002;4842
1986;5195;5105
1987;5319;5238
1988;5654;5645
1989;5594;5577
1990;5814;5804
1991;5650;5739
1992;5968;5934
1993;5729;5967
1994;5496;5812
1995;5319;5524
1996;5403;5696
1997;5033;5661
1998;4573;4961
1999;4132;4619
2000;3937;4338
2001;3533;3955
2002;3324;3587
2003;3065;3367
2004;3067;3143
2005;2807;2835
2006;2907;2627
2007;2963;2686
2008;3088;2748
2009;2879;2715
2010;3016;2763
2011;2801;2648
2012;2989;2676
2013;2937;2859
2014;2977;2981
2015;3010;2842
2016;3097;2950
2017;3090;2921
2018;3029;2811
2019;2874;2684
2020;2839;2800
2021;3105;2827
2022;2887;2759
2023;2734;2501
2024;2783;2643
