wohnquartier;unter_6_jahre;6_ bis_unter_10_jahre;10_ bis_unter_18_jahre;18_ bis_unter_25_jahre;25_ bis_unter_30_jahre;30_ bis_unter_50_jahre;50_ bis_unter_65_jahre;65_ bis_unter_75_jahre;75_jahre_und_aelter
011001;67;165;254;799;407;200;235;200;235
011002;0;0;0;0;0;0;0;0;0
012001;92;107;163;785;479;315;216;315;216
012002;0;0;0;0;0;0;0;0;0
013001;0;0;0;0;0;0;0;0;0
013002;51;169;251;808;297;190;149;190;149
013003;73;225;363;1027;525;259;203;259;203
013004;61;267;309;681;388;146;128;146;128
013005;80;228;306;738;315;152;81;152;81
013006;117;271;387;1039;425;191;160;191;160
013007;119;253;310;783;418;184;141;184;141
014001;0;0;0;0;0;0;0;0;0
014002;68;92;169;686;364;190;178;190;178
014003;62;118;237;948;379;235;151;235;151
014004;64;147;226;718;375;193;159;193;159
014005;117;146;255;799;386;212;196;212;196
014006;58;73;135;558;221;97;84;97;84
014007;125;171;279;893;397;193;160;193;160
014008;78;115;221;678;304;149;244;149;244
014009;59;122;255;635;296;131;130;131;130
014010;70;113;214;888;462;337;283;337;283
014011;76;105;177;663;342;148;143;148;143
014012;53;139;286;797;346;152;134;152;134
014013;81;137;255;825;339;199;168;199;168
014014;63;102;228;848;380;227;221;227;221
014015;67;165;262;937;371;179;163;179;163
014016;24;46;167;1036;185;81;38;81;38
015001;0;0;0;0;0;0;0;0;0
015002;63;76;75;292;205;107;75;107;75
015003;50;73;97;358;299;128;129;128;129
015004;0;0;0;0;0;0;0;0;0
015005;100;96;154;1002;275;102;76;102;76
015006;102;193;291;1004;548;250;231;250;231
015007;72;136;223;741;419;254;302;254;302
015008;111;227;326;936;453;237;192;237;192
015009;77;161;253;836;465;282;195;282;195
015010;53;109;201;498;248;143;121;143;121
015011;95;144;158;552;354;222;229;222;229
015012;77;155;262;818;322;147;151;147;151
015013;0;0;0;0;0;0;0;0;0
016001;0;0;0;0;0;0;0;0;0
016002;112;110;83;387;276;161;143;161;143
016003;178;255;266;1092;627;330;308;330;308
016004;0;0;0;0;0;0;0;0;0
016005;93;146;170;931;481;308;259;308;259
016006;131;105;169;1031;542;282;207;282;207
016007;99;95;171;827;458;228;169;228;169
021001;107;180;247;595;267;136;116;136;116
021002;153;174;244;648;328;115;95;115;95
021003;113;166;210;688;377;216;198;216;198
021004;134;185;212;647;331;122;85;122;85
021005;52;101;152;494;232;141;98;141;98
021006;51;52;44;284;142;41;17;41;17
021007;21;22;34;113;61;38;20;38;20
022001;71;141;257;743;359;161;321;161;321
022002;96;146;229;882;355;199;150;199;150
022003;122;185;284;760;372;160;128;160;128
022004;76;107;188;614;287;104;112;104;112
022005;99;100;152;758;322;171;131;171;131
022006;73;156;209;667;323;155;167;155;167
022007;98;112;221;954;379;179;160;179;160
022008;62;82;146;553;236;142;113;142;113
022009;36;52;83;274;146;76;81;76;81
022010;16;19;36;248;87;42;64;42;64
022011;166;147;123;642;422;175;231;175;231
022012;259;240;167;744;500;230;214;230;214
022013;88;76;82;293;206;99;74;99;74
023001;58;77;96;350;158;89;84;89;84
023002;143;154;204;762;403;214;195;214;195
023003;102;147;227;913;478;259;236;259;236
023004;75;161;281;980;457;271;246;271;246
023005;199;163;289;1317;643;390;380;390;380
023006;144;205;328;1105;492;280;262;280;262
023007;81;107;164;786;356;205;177;205;177
023008;89;85;138;736;390;202;160;202;160
023009;107;68;111;580;331;243;253;243;253
023010;163;90;75;619;423;278;291;278;291
023011;153;102;116;643;444;219;247;219;247
023012;147;126;173;688;312;104;150;104;150
031001;44;170;260;701;275;130;111;130;111
031002;123;249;318;572;197;69;76;69;76
031003;70;184;237;633;314;137;124;137;124
031004;101;175;271;677;305;161;94;161;94
031005;99;192;309;914;380;180;192;180;192
031006;70;227;342;747;328;142;126;142;126
031007;80;156;172;621;280;122;104;122;104
031008;62;172;271;706;286;123;115;123;115
031009;63;165;236;533;237;80;72;80;72
031010;85;300;378;1020;379;171;109;171;109
032001;53;112;207;834;351;156;155;156;155
032002;47;104;183;666;292;136;105;136;105
032003;81;124;243;899;411;258;295;258;295
032004;52;97;187;740;353;130;107;130;107
032005;77;139;260;869;365;194;180;194;180
032006;63;96;137;598;298;135;129;135;129
032007;77;102;208;766;339;128;138;128;138
032008;69;201;314;821;338;146;172;146;172
032009;121;191;282;1093;510;224;227;224;227
033001;0;0;0;0;0;0;0;0;0
033002;0;0;0;0;0;0;0;0;0
034001;0;0;0;0;0;0;0;0;0
034002;127;118;169;905;533;199;185;199;185
034003;73;97;113;638;353;118;95;118;95
034004;0;0;0;0;0;0;0;0;0
034005;0;0;0;0;0;0;0;0;0
035001;122;162;132;743;499;242;212;242;212
035002;0;0;0;0;0;0;0;0;0
036001;92;74;98;541;329;215;189;215;189
036002;74;120;222;871;318;155;163;155;163
036003;86;120;159;668;358;243;271;243;271
