wohnquartier;unter_6_jahren;6_ bis_unter_10_jahre;10_ bis_unter_18_jahre;18_ bis_unter_25_jahre;25_ bis_unter_30_jahre;30_ bis_unter_50_jahre;50_ bis_unter_65_jahre;65_ bis_unter_75_jahre;75_jahre_und_aelter
011001;71;32;73;192;273;803;453;195;266
011002;;;;;;;;;
012001;109;63;83;118;169;752;468;273;244
012002;;;;;;;;;
013001;;;;;;;;;
013002;84;20;54;176;290;769;309;171;162
013003;113;47;82;211;422;1134;516;252;214
013004;91;37;64;196;313;709;374;160;126
013005;90;57;98;242;327;744;316;140;87
013006;139;77;121;289;434;1040;462;183;167
013007;135;71;142;233;293;836;452;170;161
014001;;;;;;;;;
014002;125;44;69;93;146;746;371;198;200
014003;126;49;74;132;257;911;377;225;168
014004;84;33;72;153;243;723;397;169;181
014005;103;36;103;167;292;783;388;184;219
014006;83;51;67;63;141;543;255;91;83
014007;118;63;133;199;333;875;421;183;167
014008;86;44;80;152;237;683;322;137;105
014009;61;41;57;113;245;663;326;126;135
014010;144;85;72;101;222;871;459;308;311
014011;108;70;75;99;193;648;357;155;139
014012;87;32;49;101;282;815;344;154;138
014013;111;44;93;126;273;840;357;178;174
014014;148;63;84;111;219;868;414;209;247
014015;79;39;74;165;318;870;426;164;174
014016;403;102;71;83;309;1718;346;105;69
015001;;;;;;;;;
015002;53;25;60;70;79;273;223;107;87
015003;66;40;52;98;94;384;303;107;151
015004;;;;;;;;;
015005;240;76;127;105;167;1112;337;114;87
015006;138;59;88;204;294;978;560;246;242
015007;118;45;92;124;236;789;427;243;339
015008;139;78;123;222;349;941;488;206;199
015009;114;45;70;134;281;800;463;225;233
015010;68;38;79;105;203;489;262;131;135
015011;89;42;83;158;162;531;353;210;245
015012;117;61;89;178;300;836;366;127;159
015013;;;;;;;;;
016001;;;;;;;;;
016002;78;43;110;96;82;406;275;134;158
016003;192;97;196;209;268;1091;667;301;355
016004;;;;;;;;;
016005;138;70;106;114;216;889;536;274;299
016006;193;100;169;152;194;1004;565;279;226
016007;124;63;113;87;160;788;463;237;199
021001;110;58;127;169;235;627;280;122;134
021002;114;76;135;193;240;693;356;126;94
021003;120;55;107;177;202;698;391;218;229
021004;99;51;110;186;204;590;317;125;83
021005;78;42;69;96;166;471;242;121;109
021006;40;32;57;44;50;236;169;45;23
021007;16;8;20;34;38;119;79;37;27
022001;77;37;72;146;293;777;392;155;312
022002;102;49;98;124;214;811;383;184;174
022003;101;61;125;181;273;800;398;147;129
022004;86;36;68;126;162;602;302;117;107
022005;155;54;116;114;190;765;362;176;137
022006;80;47;76;138;206;626;339;137;176
022007;125;54;93;119;223;886;420;172;174
022008;97;47;57;96;157;591;241;117;133
022009;31;18;37;62;103;282;155;86;84
022010;301;71;72;77;182;959;215;70;77
022011;99;84;157;142;139;627;433;186;217
022012;200;104;263;228;172;741;566;219;226
022013;49;40;78;71;95;271;224;106;81
023001;89;37;47;95;92;325;161;84;81
023002;125;67;128;155;205;709;424;187;220
023003;160;71;118;143;276;909;483;224;288
023004;129;57;87;165;304;938;495;254;263
023005;258;121;206;201;291;1260;653;312;423
023006;161;80;151;187;347;1157;523;229;285
023007;132;74;98;111;185;784;403;190;203
023008;134;72;100;96;136;666;427;198;175
023009;113;51;111;77;89;574;369;207;289
023010;143;91;184;93;79;671;466;235;324
023011;115;97;167;106;102;639;440;253;258
023012;174;118;192;151;196;780;342;97;132
031001;75;34;75;121;297;661;284;129;115
031002;89;45;82;208;309;602;222;90;59
031003;86;50;71;164;309;629;314;136;133
031004;95;42;96;195;302;691;318;145;120
031005;114;55;101;195;340;922;388;167;190
031006;87;36;73;233;357;758;320;133;139
031007;85;37;64;131;224;562;283;102;114
031008;103;48;65;169;275;735;301;110;120
031009;46;20;59;163;261;516;251;67;74
031010;122;69;94;278;404;979;403;155;126
032001;87;45;57;108;207;782;373;153;151
032002;58;33;47;92;203;599;323;128;113
032003;161;65;116;128;258;1003;456;221;299
032004;103;47;61;99;196;718;354;153;109
032005;113;43;82;128;288;899;402;183;179
032006;81;51;62;77;168;584;328;134;131
032007;112;59;86;82;193;739;363;122;148
032008;112;44;85;207;284;829;342;142;183
032009;175;72;116;175;379;1201;564;205;234
033001;;;;;;;;;
033002;;;;;;;;;
034001;;;;;;;;;
034002;193;91;126;136;184;916;576;214;176
034003;148;49;76;86;140;648;385;143;102
034004;;;;;;;;;
034005;;;;;;;;;
035001;114;64;101;143;164;708;546;246;244
035002;;;;;;;;;
036001;158;66;105;147;142;586;372;188;211
036002;123;75;70;107;222;838;366;158;162
036003;94;42;83;104;180;596;424;214;297
036004;81;43;60;146;213;712;415;176;215
036005;79;37;68;124;209;623;410;183;183
036006;101;40;58;131;205;623;294;123;132
036007;163;55;82;152;245;863;263;124;97
036008;95;43;93;165;265;720;320;137;135
036009;153;63;124;314;380;922;446;208;226
036010;89;39;51;134;300;641;309;137;128
036011;148;95;157;149;175;743;349;128;103
036012;94;49;52;273;206;392;180;97;248
036013;96;28;58;788;410;942;268;97;114
036014;;;;;;;;;
036015;69;49;101;78;92;340;359;221;247
036016;48;35;48;67;50;334;297;177;146
036017;86;47;106;136;117;474;402;191;295
036018;76;50;113;193;187;498;367;103;90
036019;100;51;122;154;132;556;388;162;172
036020;87;39;67;195;219;565;311;162;316
036021;84;47;81;504;283;401;182;62;108
036022;95;43;51;275;216;551;309;109;106
037001;136;77;137;185;276;785;417;175;154
037002;66;33;50;92;157;418;198;65;46
037003;124;74;133;210;268;760;425;195;175
037004;147;78;152;248;275;821;445;187;238
037005;98;49;78;204;289;696;371;124;159
037006;116;55;90;218;325;804;346;121;136
037007;104;64;109;214;289;724;314;137;133
037008;142;101;177;292;334;858;453;188;207
037009;109;60;92;151;240;647;341;131;158
037010;159;93;149;188;198;746;376;179;202
037011;51;29;111;170;189;446;245;102;130
037012;143;91;206;225;214;710;385;162;101
037013;153;88;156;256;271;742;320;167;82
037014;;;;;;;;;
037015;110;65;113;134;116;532;325;164;147
037016;48;33;50;55;54;246;244;120;107
038001;156;85;127;126;210;866;608;282;265
038002;;;;;;;;;
041001;84;51;63;61;43;371;200;121;125
041002;129;95;114;64;99;721;354;170;254
041003;195;90;138;120;135;863;369;144;108
041004;198;83;137;100;158;965;555;270;267
041005;108;73;128;92;153;761;477;260;280
041006;62;50;75;65;80;431;304;152;188
