Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
011001;85;39;81;185;294;825;496;186;262
011002;;;;;;;;;
012001;86;59;93;131;177;708;499;254;274
012002;;;;;;;;;
013001;4;5;6;29;19;78;45;14;23
013002;95;29;56;181;303;782;332;150;174
013003;124;54;89;207;407;1189;557;249;229
013004;98;44;70;177;330;731;329;147;123
013005;96;56;103;233;372;766;344;134;95
013006;123;72;124;269;355;1071;478;162;168
013007;138;79;150;193;274;836;450;177;161
014001;;;;;;;;;
014002;109;42;81;89;164;718;389;187;201
014003;110;61;69;133;250;875;392;209;184
014004;72;44;72;155;246;728;406;165;182
014005;89;46;100;152;284;774;391;182;215
014006;98;52;75;76;127;545;278;79;90
014007;118;60;135;178;349;863;443;178;184
014008;92;39;77;160;247;754;322;134;105
014009;71;34;66;122;242;641;307;132;138
014010;167;80;101;97;207;915;486;260;343
014011;111;69;95;98;152;677;368;133;150
014012;98;33;47;106;284;818;333;146;140
014013;102;56;95;135;272;786;376;175;175
014014;164;58;97;114;264;879;431;198;248
014015;98;29;68;168;325;865;414;159;183
014016;483;137;95;88;278;1960;405;117;85
015001;;;;;;;4;;
015002;60;28;53;73;63;258;230;102;96
015003;73;28;71;92;103;380;301;100;154
015004;;;;;;4;3;8;
015005;243;80;148;106;165;1044;384;120;101
015006;117;72;97;192;317;937;569;236;233
015007;109;48;107;119;243;817;437;238;349
015008;115;64;125;208;353;886;497;205;207
015009;102;46;73;127;283;810;451;206;253
015010;70;43;87;96;213;504;265;118;137
015011;86;45;92;282;212;581;359;200;236
015012;110;47;91;160;282;853;359;146;151
015013;;;;;;;;;
016001;;;;;;4;;;
016002;84;51;93;90;89;381;299;125;179
016003;186;119;179;222;267;1073;705;296;403
016004;;;;;;;;;
016005;199;87;136;116;250;1136;584;240;328
016006;180;94;155;101;149;924;627;258;241
016007;138;55;117;71;142;767;482;232;203
021001;122;48;134;194;299;712;315;113;127
021002;102;64;142;176;228;676;363;131;90
021003;106;45;110;176;219;660;410;224;243
