Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
011001;77;45;82;177;300;809;503;192;244
011002;;;;;;;;;
012001;85;45;94;145;167;704;497;243;279
012002;;;;;;;;;
013001;3;4;9;29;22;84;41;14;23
013002;79;35;48;182;292;757;340;153;172
013003;133;54;92;200;366;1151;549;231;227
013004;96;44;80;160;298;755;318;158;115
013005;94;44;118;208;364;770;350;137;102
013006;121;80;126;230;363;1023;482;170;164
013007;118;75;150;196;266;820;446;173;150
014001;;;;;;;;;
014002;109;40;91;84;165;720;389;181;197
014003;104;58;75;135;229;877;406;204;181
014004;66;43;69;149;222;734;413;167;182
014005;87;48;90;150;261;790;385;185;221
014006;91;51;72;73;143;499;294;88;85
014007;117;60;137;180;353;874;444;186;178
014008;90;46;75;140;267;742;334;127;111
014009;65;32;70;113;231;630;307;138;142
014010;163;76;110;102;203;871;504;260;341
014011;110;77;91;99;159;670;367;138;143
014012;91;32;56;119;254;811;336;146;133
014013;94;53;95;131;264;774;378;164;174
014014;148;61;104;118;246;882;440;205;249
014015;102;33;74;164;318;865;412;158;184
014016;469;151;120;90;258;1958;429;118;94
015001;;;;3;;3;3;;
015002;49;31;62;75;60;245;234;104;93
015003;65;27;64;97;107;364;305;102;149
015004;;;;;;4;;7;
015005;221;85;147;112;152;1009;413;127;105
015006;105;68;102;197;299;937;575;232;237
015007;116;50;110;117;221;798;443;231;341
015008;107;60;131;217;348;890;496;215;194
015009;79;50;79;147;297;804;444;217;246
015010;58;43;80;104;198;522;270;115;130
015011;75;43;91;265;209;569;367;199;222
015012;104;50;93;157;271;855;358;156;148
015013;;;;;;;;;
016001;;;;;;3;;;
016002;89;46;92;98;79;368;293;126;177
016003;194;93;184;207;252;1067;699;305;441
016004;;;;;;;;;
016005;218;83;138;129;239;1141;603;238;311
016006;176;108;149;111;153;908;651;267;241
016007;116;63;123;75;147;752;478;232;207
021001;117;55;134;173;297;722;314;116;125
021002;98;60;150;181;217;673;376;140;91
021003;96;51;102;167;213;638;416;208;253
021004;70;60;109;191;207;546;322;122;76
021005;53;41;79;95;155;444;232;116;110
021006;28;26;67;47;37;222;179;58;24
021007;20;9;16;44;35;129;75;35;22
022001;88;32;78;127;271;726;417;167;288
022002;105;60;95;130;205;801;431;174;165
022003;103;53;101;191;288;757;416;144;111
022004;80;42;67;106;200;592;297;133;92
022005;149;75;109;103;182;754;392;159;140
022006;80;35;77;132;210;621;351;125;175
022007;123;53;101;152;216;847;458;179;185
