Wohnquartiere;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
11001001;87;36;87;188;296;833;498;174;171
11001002;;;;;;;;;
12001001;74;44;98;148;168;687;499;229;288
12001002;;;;;;;;;
13001001;;3;12;26;22;76;43;20;21
13001002;81;42;51;195;320;790;336;155;162
13002001;143;50;101;242;391;1226;575;249;240
13002002;96;44;80;165;267;770;312;154;120
13003001;86;45;117;236;358;759;327;135;109
13003002;119;70;141;255;367;1040;491;178;150
13003003;127;74;148;175;259;799;455;164;160
14001001;;;;;;;;;3
14001002;162;67;117;105;200;853;493;276;345
14001003;144;58;115;122;240;871;447;201;242
14002001;98;47;82;104;182;699;397;184;201
14002002;97;48;82;137;237;839;407;200;184
14002003;71;44;72;178;225;716;419;170;184
14002004;86;52;83;153;259;782;388;187;212
14002005;88;50;77;84;124;488;309;88;82
14002006;100;72;105;96;164;649;376;139;145
14003001;92;52;139;187;326;830;445;183;178
14003002;93;37;74;140;248;773;343;126;105
14003003;62;29;63;111;247;618;290;136;135
14003004;89;31;51;114;254;776;339;152;125
14003005;83;58;92;132;268;751;375;175;173
14003006;117;31;69;144;308;877;405;156;175
14004001;454;162;141;79;262;1890;454;119;98
15001001;;;;4;;3;3;;
15001002;50;26;54;67;81;272;234;80;126
15001003;;;;;;3;3;7;
15002001;55;41;63;102;89;315;270;128;109
15003001;227;106;150;115;154;1064;460;124;120
15003002;105;66;109;178;291;952;576;243;235
15003003;120;46;106;119;223;783;451;221;356
15003004;107;66;124;232;361;904;475;220;190
15003005;85;49;85;136;277;806;437;218;241
15003006;56;41;78;110;189;513;262;116;134
15003007;82;60;96;264;238;562;361;194;227
15003008;102;44;97;172;282;835;347;161;139
15003009;;;;;;;;;
16001001;157;104;159;118;138;893;651;271;245
16001002;101;74;122;86;146;733;485;222;215
16002001;;;;;;;;;
16002002;215;91;153;136;259;1126;628;235;306
16003001;202;95;179;194;244;1078;722;290;458
16004001;;;;;;3;;;
16004002;90;57;90;91;91;388;302;131;175
21001001;118;51;128;168;280;730;314;113;113
21001002;97;67;139;168;225;652;380;141;90
21001003;107;54;97;138;208;641;404;216;240
21001004;81;59;110;172;216;590;320;116;81
21001005;59;31;77;115;154;419;213;109;111
21002001;35;36;75;84;62;328;248;83;51
22001001;92;38;76;146;273;724;392;172;286
22001002;109;54;101;113;206;806;440;166;164
22001003;101;51;104;184;282;746;401;150;113
22001004;66;38;62;107;189;587;313;130;94
22002001;146;74;110;100;166;731;385;137;146
22002002;52;17;39;64;93;343;197;84;123
22002003;117;57;100;150;223;789;488;182;184
22002004;100;48;62;96;153;564;239;130;131
22002005;57;28;75;112;177;519;313;132;131
22003001;550;255;178;96;215;1793;370;124;99
22004001;81;61;163;136;132;516;416;213;182
22004002;161;115;208;216;155;707;579;238;222
22005001;52;33;78;86;87;263;227;105;81
23001001;70;50;60;76;88;308;189;95;65
23002001;125;65;115;142;202;666;455;173;218
23002002;136;73;117;147;261;856;504;213;283
23002003;137;57;99;150;267;939;501;242;273
23003001;262;166;228;221;287;1295;643;298;416
23003002;170;83;147;182;328;1150;574;232;258
23003003;101;69;105;111;176;748;410;176;209
23003004;131;51;117;116;160;705;504;184;204
23003005;112;56;106;91;105;568;387;190;300
23003006;159;92;187;118;104;612;538;204;323
23004001;131;68;184;107;89;580;456;264;287
23005001;176;104;231;165;154;771;360;131;100
31001001;109;47;70;155;232;777;297;137;130
31001002;104;56;99;181;331;914;395;174;176
31001003;89;55;94;158;263;738;293;107;115
31001004;53;23;55;157;248;535;256;82;65
31002001;75;43;74;202;264;674;241;87;70
31002002;58;38;81;144;245;648;300;131;135
31002003;95;47;84;188;248;673;342;157;128
31003001;83;46;68;206;337;837;347;138;129
31003002;63;31;69;117;206;567;304;104;107
31003003;110;59;118;242;360;933;434;153;130
32001001;81;50;70;120;232;757;410;157;151
32001002;73;24;52;96;157;604;325;134;104
32002001;132;58;103;150;248;881;556;201;312
32002002;89;43;69;102;186;672;363;155;111
32002003;122;64;85;155;291;881;435;179;188
32002004;70;33;72;89;147;517;352;140;134
32002005;92;43;94;103;198;718;381;120;138
32002006;102;55;90;156;314;859;362;141;190
32002007;163;92;121;206;361;1165;633;204;220
33001001;5;;3;35;60;88;53;11;11
33001002;;;;;;;;;
34001001;;;;;;;;;
34001002;200;123;161;139;198;937;633;216;175
34001003;130;63;91;62;105;622;404;158;112
34001004;;;;3;4;8;7;;6
34001005;;;;5;;11;4;;
35001001;115;58;106;120;156;670;608;261;252
35001002;;;;;;;5;;
36001001;115;67;107;114;168;530;418;167;203
36001002;112;86;114;121;231;842;418;157;143
36002001;95;57;83;95;179;573;489;200;300
36002002;87;42;69;108;226;634;421;164;205
36002003;68;43;61;144;189;572;413;171;182
36002004;83;51;65;114;193;618;317;127;113
36002005;158;71;91;130;229;858;305;116;91
36002006;161;60;102;198;361;1061;396;156;125
36002007;144;65;112;271;394;900;491;204;196
36002008;83;31;57;156;244;654;301;134;123
36002009;133;79;179;139;170;648;441;135;102
36002010;63;56;66;237;206;416;177;90;224
36003001;104;49;53;651;399;962;307;107;114
36003002;142;90;99;233;298;845;380;145;305
36003003;51;32;65;467;282;369;188;79;103
36003004;106;50;78;241;149;564;299;132;115
36004001;;;;;;8;8;;
36004002;81;62;98;77;64;378;370;180;242
36004003;56;21;56;60;71;281;305;153;160
36004004;67;62;99;130;152;436;428;194;282
36005001;60;46;103;173;192;501;381;134;78
36006001;96;65;105;139;136;524;400;180;169
37001001;124;67;129;189;269;786;424;159;156
37001002;62;26;56;77;132;410;212;67;54
37002001;104;71;132;210;241;682;458;188;159
37002002;106;45;74;191;285;695;388;119;141
37002003;124;60;95;205;303;859;334;131;126
37002004;114;48;110;222;285;686;362;127;118
37003001;122;101;151;237;355;759;453;179;172
37004001;139;85;199;279;328;856;468;194;192
37004002;102;63;112;139;221;644;364;134;135
37004003;123;85;162;209;189;681;470;176;220
37004004;53;29;117;149;169;455;264;110;109
37005001;134;93;225;241;242;699;440;179;105
37005002;199;93;184;308;410;1019;399;174;108
37006001;;;;;;;10;3;3
37006002;87;64;126;156;125;482;354;150;154
37007001;43;48;69;66;41;255;262;119;114
38001001;145;92;152;110;192;873;610;304;286
38001002;;;;;;;;;
41001001;83;41;74;39;53;332;209;118;136
41002001;109;79;149;91;104;653;427;172;285
41003001;182;105;156;110;160;895;455;147;168
41004001;152;96;157;112;155;831;614;257;293
41004002;138;75;135;129;150;736;608;235;322
41004003;136;77;145;85;97;685;513;235;290
41005001;112;68;115;105;145;747;522;223;278
41005002;74;43;95;61;85;411;351;150;200
41006001;127;73;135;93;104;612;537;263;326
41006002;;;3;;;;;;
42001001;266;137;214;138;170;975;390;148;79
42002001;113;57;102;129;129;486;263;101;70
42003001;116;93;173;110;112;558;414;239;321
42004001;67;49;80;107;90;389;254;103;115
42005001;85;54;98;89;132;560;397;185;201
42006001;130;69;104;85;100;591;463;221;289
42006002;;;;;;;;;
42007001;133;83;99;49;84;631;224;79;49
43001001;;;;;;;4;;
43001002;121;82;131;107;116;676;638;280;821
43002001;103;69;136;88;81;437;389;200;292
43003001;74;48;107;86;63;355;237;58;58
43004001;80;52;59;61;122;682;242;97;177
44001001;68;59;156;60;34;292;319;104;133
44001002;;;;;;;;;
44002001;218;143;233;98;69;861;483;234;305
44003001;64;37;76;38;47;301;288;103;157
44004001;53;40;62;39;60;323;231;125;160
51001001;;;;;;;;;
51001002;;;;;;;4;;
51001003;80;55;130;66;58;356;309;125;225
51002001;54;32;94;123;84;332;387;136;303
51003001;45;53;118;111;57;276;339;131;170
51004001;59;40;85;90;69;308;311;139;250
52001001;;;;;;;;;
52001002;90;66;195;172;82;396;505;110;122
52001003;115;81;177;171;132;584;618;258;269
52001004;;;;;;;;;
53001001;;;;;;;;;
53001002;52;50;96;53;25;249;248;123;116
53001003;56;38;96;77;36;277;312;112;204
53001004;74;76;205;99;79;412;399;198;246
53001005;129;88;277;205;119;687;636;242;349
53002001;56;44;85;49;42;273;248;124;250
54001001;;;;;;;;;
54001002;99;83;218;120;47;386;490;206;286
54001003;145;138;290;176;68;679;659;322;404
54002001;78;105;253;159;51;419;414;70;36
54002002;103;99;234;144;40;473;456;76;72
55001001;4;;12;5;;22;22;3;13
55001002;182;151;266;126;56;658;582;208;249
55001003;146;120;207;100;58;574;586;310;376
55001004;114;82;122;90;90;454;330;171;238
55001005;;;;;;;;;
55001006;;;5;;;3;10;;5
56001001;101;82;200;88;54;400;460;212;299
56001002;4;0;5;4;5;18;19;3;
61001001;40;27;28;39;35;93;29;4;
61001002;170;124;270;232;147;642;653;289;176
61002001;155;120;230;188;119;525;347;165;136
61003001;53;55;63;60;53;266;269;186;167
62001001;;;;;;;;;
62001002;136;78;178;208;237;880;899;424;444
62002001;114;86;181;140;119;504;332;112;171
62003001;122;109;194;137;73;532;605;321;341
62004001;133;91;175;166;101;538;603;208;233
62005001;200;113;214;272;280;1109;806;405;336
62005002;107;65;153;182;158;612;499;231;225
62006001;105;74;138;114;104;540;583;208;295
62007001;211;128;242;254;221;1051;921;402;478
63001001;59;48;82;92;70;312;284;131;143
63002001;58;49;145;125;56;268;209;83;68
63003001;75;61;89;93;70;267;211;74;62
63003002;112;70;118;85;140;505;206;84;99
63004001;267;182;290;211;221;966;500;222;357
63004002;78;53;124;123;111;387;328;108;106
63004003;127;76;158;188;149;596;423;131;158
63005001;57;44;89;57;49;272;233;157;133
63006001;55;45;90;67;49;290;230;120;133
63006002;;;12;9;8;36;38;9;7
63007001;129;79;124;138;162;625;392;206;181
63008001;90;55;96;116;95;437;329;198;175
63008002;173;104;198;222;210;695;375;124;98
63009001;83;45;95;90;88;365;340;207;224
64001001;;;;;;4;4;;
64001002;163;119;266;301;196;913;720;316;219
