wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
011001001;104;48;100;220;285;917;523;188;171
011001002;;;;;;;;;
012001001;77;41;101;144;170;681;513;224;297
012001002;;;;;;;;;
013001001;;;12;27;31;66;46;21;18
013001002;106;44;72;225;341;842;352;149;172
013002001;144;70;119;239;392;1339;585;258;243
013002002;97;61;97;184;283;796;312;152;119
013003001;82;55;146;232;361;829;353;163;105
013003002;121;70;172;257;392;1124;504;182;161
013003003;125;70;153;208;242;816;453;176;157
014001001;;;;;;;;;
014001002;157;75;130;111;237;859;504;275;357
014001003;160;78;133;134;263;939;504;224;248
014002001;106;58;99;121;191;723;404;183;208
014002002;87;51;88;132;249;834;414;194;201
014002003;74;38;73;187;243;723;408;179;179
014002004;88;46;76;157;279;767;377;197;216
014002005;75;59;89;73;148;493;302;97;86
014002006;101;57;118;93;171;682;365;152;151
014003001;113;63;130;194;328;872;448;178;185
014003002;90;42;68;152;249;788;351;129;107
014003003;59;24;61;120;221;640;295;142;136
014003004;90;38;51;128;251;811;338;154;119
014003005;93;53;99;148;241;765;379;177;172
014003006;121;44;71;158;303;881;422;161;176
014004001;447;164;168;83;297;1845;482;124;102
015001001;;;;4;;3;3;;
015001002;51;27;49;66;84;259;245;79;123
015001003;;;;;;3;;7;
015002001;54;46;67;87;110;310;268;129;107
015003001;230;131;173;138;166;1140;516;147;127
015003002;95;68;113;187;311;936;581;245;242
015003003;114;63;110;121;245;784;445;230;354
015003004;95;73;127;207;358;938;491;214;192
015003005;85;59;84;136;301;793;445;217;238
015003006;59;41;86;117;172;526;259;124;138
015003007;122;81;128;385;310;696;399;205;235
015003008;100;48;90;121;282;837;352;166;137
015003009;;;;;;;;;
016001001;152;112;183;121;136;893;660;273;237
016001002;102;62;118;100;145;720;483;217;219
016002001;;;;;;3;;;
016002002;203;99;167;134;261;1135;641;239;309
016003001;195;108;192;205;238;1102;731;300;462
016004001;;;;;;5;;;
016004002;89;53;95;90;86;385;306;121;182
021001001;117;61;135;174;260;736;329;116;106
021001002;85;60;139;164;213;651;380;139;103
021001003;103;54;113;156;195;647;405;213;247
021001004;80;61;118;183;237;635;345;124;88
021001005;63;35;77;114;168;443;213;99;104
021002001;32;37;71;81;69;327;245;84;55
022001001;91;49;90;148;275;754;399;185;273
022001002;101;62;105;108;211;839;427;159;177
022001003;95;48;105;159;293;770;402;148;117
022001004;72;37;65;131;213;583;298;132;91
022002001;138;80;112;105;163;732;392;133;155
022002002;55;18;34;65;104;343;196;87;124
022002003;118;57;104;144;222;803;492;186;181
022002004;97;48;71;96;157;563;250;127;129
022002005;45;34;83;112;167;538;324;135;127
022003001;544;313;235;116;280;1899;453;146;126
022004001;80;64;153;140;134;503;402;199;160
022004002;173;112;222;220;164;693;613;256;222
022005001;51;34;79;77;92;281;217;105;85
023001001;69;53;61;73;93;310;193;97;68
023002001;138;77;136;140;220;748;459;176;223
023002002;124;79;124;151;265;869;520;219;283
023002003;132;71;102;150;279;995;490;234;271
023003001;263;156;244;238;276;1319;671;291;413
023003002;172;94;147;174;360;1149;582;240;257
023003003;94;70;107;109;175;760;395;184;200
023003004;129;68;131;117;177;750;514;191;203
023003005;112;65;118;96;113;572;411;167;305
023003006;152;93;180;130;102;631;533;219;323
023004001;130;72;176;116;96;588;442;266;293
023005001;173;102;232;169;166;757;360;134;100
031001001;110;58;76;161;242;802;301;132;137
031001002;109;58;93;186;314;941;397;171;169
031001003;96;63;107;163;265;766;307;98;114
031001004;51;29;53;151;246;565;257;89;64
031002001;90;48;87;212;295;734;272;88;68
031002002;80;36;89;167;254;682;313;130;144
031002003;85;64;89;199;241;690;332;150;135
031003001;84;43;69;221;367;838;362;130;128
