wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
011001001;86;52;86;212;284;895;517;187;168
011001002;;;;;;;;;
012001001;64;44;104;131;173;661;515;228;291
012001002;;;;;;;;;
013001001;7;3;9;27;37;69;40;19;13
013001002;101;48;69;164;340;946;325;150;158
013002001;138;72;118;238;382;1336;607;256;260
013002002;168;91;120;264;465;1173;377;158;120
013003001;80;70;115;216;363;826;376;163;118
013003002;108;64;155;250;407;1124;507;189;152
013003003;85;71;139;238;233;794;442;176;152
014001001;;;;;;;;;3
014001002;152;67;160;98;217;891;509;258;358
014001003;137;93;147;147;216;977;486;236;265
014002001;95;54;88;125;166;737;410;193;210
014002002;91;47;86;119;270;867;408;184;197
014002003;67;30;64;202;224;727;388;179;177
014002004;77;34;76;151;251;750;378;195;217
014002005;59;45;101;74;154;474;304;96;93
014002006;74;53;127;110;173;650;372;147;151
014003001;100;52;132;169;305;897;428;180;187
014003002;66;37;80;150;232;748;352;120;108
014003003;55;30;63;128;224;638;291;142;127
014003004;98;38;59;126;239;846;339;144;122
014003005;91;50;87;160;226;780;361;166;170
014003006;116;52;76;150;309;968;421;169;163
014004001;377;189;207;87;250;1913;534;125;114
015001001;;;;;;;;;
015001002;36;32;56;63;102;261;237;83;117
015001003;;;;;;;;4;3
015002001;44;41;77;97;120;322;259;128;109
015003001;254;133;227;230;254;1198;612;176;136
015003002;104;57;115;185;339;947;574;246;235
015003003;102;63;104;115;230;811;408;246;355
015003004;95;64;134;191;362;960;468;212;193
015003005;81;49;85;144;287;846;424;217;240
015003006;54;32;78;121;190;509;270;125;127
015003007;137;72;174;401;278;755;378;218;209
015003008;94;45;93;151;256;810;361;165;132
015003009;;;;;;;;;
016001001;133;100;184;130;154;841;653;254;258
016001002;81;55;118;105;163;710;486;198;231
016002001;;;;;;;;;
